z,boundary,estimated_x,bisection_steps,queries,nominal_budget,actual_queries_total
-1.0,0,-0.20355224609375,14,16,100000,22944
-1.0,1,0.39642333984375,14,16,100000,22944
-1.0,2,0.99639892578125,14,16,100000,22944
-0.9916727410505062,0,-0.20623779296875,14,16,100000,22944
-0.9916727410505062,1,0.39373779296875,14,16,100000,22944
-0.9916727410505062,2,0.99383544921875,14,16,100000,22944
-0.9916317991631799,0,-0.20623779296875,14,16,100000,22944
-0.9916317991631799,1,0.39373779296875,14,16,100000,22944
-0.9916317991631799,2,0.99371337890625,14,16,100000,22944
-0.9832635983263598,0,-0.20892333984375,14,16,100000,22944
-0.9832635983263598,1,0.39117431640625,14,16,100000,22944
-0.9832635983263598,2,0.99114990234375,14,16,100000,22944
-0.9829914066704589,0,-0.20892333984375,14,16,100000,22944
-0.9829914066704589,1,0.39105224609375,14,16,100000,22944
-0.9829914066704589,2,0.99102783203125,14,16,100000,22944
-0.9748953974895398,0,-0.21148681640625,14,16,100000,22944
-0.9748953974895398,1,0.38848876953125,14,16,100000,22944
-0.9748953974895398,2,0.98846435546875,14,16,100000,22944
-0.9743439232677803,0,-0.21173095703125,14,16,100000,22944
-0.9743439232677803,1,0.38836669921875,14,16,100000,22944
-0.9743439232677803,2,0.98834228515625,14,16,100000,22944
-0.9665271966527197,0,-0.21417236328125,14,16,100000,22944
-0.9665271966527197,1,0.38580322265625,14,16,100000,22944
-0.9665271966527197,2,0.98590087890625,14,16,100000,22944
-0.9662951167490661,0,-0.21417236328125,14,16,100000,22944
-0.9662951167490661,1,0.38580322265625,14,16,100000,22944
-0.9662951167490661,2,0.98577880859375,14,16,100000,22944
-0.9581589958158996,0,-0.21673583984375,14,16,100000,22944
-0.9581589958158996,1,0.38323974609375,14,16,100000,22944
-0.9581589958158996,2,0.98321533203125,14,16,100000,22944
-0.957434002802815,0,-0.21697998046875,14,16,100000,22944
-0.957434002802815,1,0.38299560546875,14,16,100000,22944
-0.957434002802815,2,0.98297119140625,14,16,100000,22944
-0.9497907949790795,0,-0.21942138671875,14,16,100000,22944
-0.9497907949790795,1,0.38055419921875,14,16,100000,22944
-0.9497907949790795,2,0.98052978515625,14,16,100000,22944
-0.9495543246431947,0,-0.21954345703125,14,16,100000,22944
-0.9495543246431947,1,0.38043212890625,14,16,100000,22944
-0.9495543246431947,2,0.98052978515625,14,16,100000,22944
-0.9414958353524427,0,-0.22210693359375,14,16,100000,22944
