boundary,z,true_x,estimated_x,queries
0,-1.0,-0.2035972419924183,-0.20355224609375,22944
0,-0.9916317991631799,-0.2062278739747959,-0.20623779296875,22944
0,-0.9832635983263598,-0.2088624419678321,-0.20892333984375,22944
0,-0.9748953974895398,-0.21150106956316778,-0.21148681640625,22944
0,-0.9665271966527197,-0.2141438838724305,-0.21417236328125,22944
0,-0.9581589958158996,-0.21679101560276515,-0.21673583984375,22944
0,-0.9497907949790795,-0.21944259913219927,-0.21942138671875,22944
0,-0.9414225941422594,-0.2220987725846788,-0.22210693359375,22944
0,-0.9330543933054394,-0.2247596779045994,-0.22479248046875,22944
0,-0.9246861924686193,-0.22742546093064214,-0.22747802734375,22944
0,-0.9163179916317992,-0.23009627146870956,-0.23004150390625,22944
0,-0.9079497907949791,-0.2327722633637409,-0.23272705078125,22944
0,-0.899581589958159,-0.23545359457017134,-0.23541259765625,22944
0,-0.891213389121339,-0.23814042722077955,-0.23809814453125,22944
0,-0.8828451882845189,-0.24083292769365489,-0.24078369140625,22944
0,-0.8744769874476988,-0.24353126667699104,-0.24359130859375,22944
0,-0.8661087866108786,-0.2462356192314008,-0.24627685546875,22944
0,-0.8577405857740585,-0.24894616484941867,-0.24896240234375,22944
0,-0.8493723849372385,-0.25166308751184463,-0.25164794921875,22944
0,-0.8410041841004184,-0.2543865757405548,-0.25433349609375,22944
0,-0.8326359832635983,-0.257116822647386,-0.25714111328125,22944
0,-0.8242677824267782,-0.25985402597867746,-0.25982666015625,22944
0,-0.8158995815899581,-0.26259838815502756,-0.26263427734375,22944
0,-0.8075313807531381,-0.26535011630580163,-0.26531982421875,22944
0,-0.799163179916318,-0.26810942229790086,-0.26812744140625,22944
0,-0.7907949790794979,-0.27087652275827484,-0.27093505859375,22944
0,-0.7824267782426778,-0.27365163908963985,-0.27362060546875,22944
0,-0.7740585774058577,-0.27643499747883205,-0.27642822265625,22944
0,-0.7656903765690377,-0.2792268288972039,-0.27923583984375,22944
