z,boundary,estimated_x,bisection_steps,queries,nominal_budget,actual_queries_total,seed,family,samples
-0.9238026324589015,0,-0.27667236328125,14,16,100000,22944,0,inventory_threshold,100000
-0.9238026324589015,1,0.32330322265625,14,16,100000,22944,0,inventory_threshold,100000
-0.9238026324589015,2,0.92327880859375,14,16,100000,22944,0,inventory_threshold,100000
-0.9163179916317992,0,-0.27923583984375,14,16,100000,22944,0,inventory_threshold,100000
-0.9163179916317992,1,0.32073974609375,14,16,100000,22944,0,inventory_threshold,100000
-0.9163179916317992,2,0.92071533203125,14,16,100000,22944,0,inventory_threshold,100000
-0.9159083226102627,0,-0.27947998046875,14,16,100000,22944,0,inventory_threshold,100000
-0.9159083226102627,1,0.32061767578125,14,16,100000,22944,0,inventory_threshold,100000
-0.9159083226102627,2,0.92059326171875,14,16,100000,22944,0,inventory_threshold,100000
-0.9079497907949791,0,-0.28216552734375,14,16,100000,22944,0,inventory_threshold,100000
-0.9079497907949791,1,0.31781005859375,14,16,100000,22944,0,inventory_threshold,100000
-0.9079497907949791,2,0.91778564453125,14,16,100000,22944,0,inventory_threshold,100000
-0.9077103096014707,0,-0.28228759765625,14,16,100000,22944,0,inventory_threshold,100000
-0.9077103096014707,1,0.31768798828125,14,16,100000,22944,0,inventory_threshold,100000
-0.9077103096014707,2,0.91766357421875,14,16,100000,22944,0,inventory_threshold,100000
-0.899581589958159,0,-0.28509521484375,14,16,100000,22944,0,inventory_threshold,100000
-0.899581589958159,1,0.31488037109375,14,16,100000,22944,0,inventory_threshold,100000
-0.899581589958159,2,0.91485595703125,14,16,100000,22944,0,inventory_threshold,100000
-0.8993896719392674,0,-0.28521728515625,14,16,100000,22944,0,inventory_threshold,100000
-0.8993896719392674,1,0.31475830078125,14,16,100000,22944,0,inventory_threshold,100000
-0.8993896719392674,2,0.91473388671875,14,16,100000,22944,0,inventory_threshold,100000
-0.891213389121339,0,-0.28802490234375,14,16,100000,22944,0,inventory_threshold,100000
-0.891213389121339,1,0.31195068359375,14,16,100000,22944,0,inventory_threshold,100000
-0.891213389121339,2,0.91192626953125,14,16,100000,22944,0,inventory_threshold,100000
-0.8903852414582241,0,-0.28839111328125,14,16,100000,22944,0,inventory_threshold,100000
-0.8903852414582241,1,0.31158447265625,14,16,100000,22944,0,inventory_threshold,100000
-0.8903852414582241,2,0.91168212890625,14,16,100000,22944,0,inventory_threshold,100000
-0.8834127795751447,0,-0.29083251953125,14,16,100000,22944,0,inventory_threshold,100000
-0.8834127795751447,1,0.30914306640625,14,16,100000,22944,0,inventory_threshold,100000
-0.8834127795751447,2,0.90924072265625,14,16,100000,22944,0,inventory_threshold,100000
-0.8828451882845189,0,-0.29095458984375,14,16,100000,22944,0,inventory_threshold,100000
-0.8828451882845189,1,0.30902099609375,14,16,100000,22944,0,inventory_threshold,100000
-0.8828451882845189,2,0.90899658203125,14,16,100000,22944,0,inventory_threshold,100000
-0.8745674415643356,0,-0.29388427734375,14,16,100000,22944,0,inventory_threshold,100000
-0.8745674415643356,1,0.30609130859375,14,16,100000,22944,0,inventory_threshold,100000
-0.8745674415643356,2,0.90606689453125,14,16,100000,22944,0,inventory_threshold,100000
-0.8744769874476988,0,-0.29388427734375,14,16,100000,22944,0,inventory_threshold,100000
-0.8744769874476988,1,0.30609130859375,14,16,100000,22944,0,inventory_threshold,100000
-0.8744769874476988,2,0.90606689453125,14,16,100000,22944,0,inventory_threshold,100000
-0.8663902384130647,0,-0.29681396484375,14,16,100000,22944,0,inventory_threshold,100000
-0.8663902384130647,1,0.30328369140625,14,16,100000,22944,0,inventory_threshold,100000
-0.8663902384130647,2,0.90325927734375,14,16,100000,22944,0,inventory_threshold,100000
-0.8661087866108786,0,-0.29681396484375,14,16,100000,22944,0,inventory_threshold,100000
-0.8661087866108786,1,0.30316162109375,14,16,100000,22944,0,inventory_threshold,100000
-0.8661087866108786,2,0.90313720703125,14,16,100000,22944,0,inventory_threshold,100000
-0.8577405857740585,0,-0.29974365234375,14,16,100000,22944,0,inventory_threshold,100000
-0.8577405857740585,1,0.30023193359375,14,16,100000,22944,0,inventory_threshold,100000
-0.8577405857740585,2,0.90020751953125,14,16,100000,22944,0,inventory_threshold,100000
-0.8574475866099994,0,-0.29986572265625,14,16,100000,22944,0,inventory_threshold,100000
-0.8574475866099994,1,0.30010986328125,14,16,100000,22944,0,inventory_threshold,100000
-0.8574475866099994,2,0.90008544921875,14,16,100000,22944,0,inventory_threshold,100000
