seed,family,structure,samples,queries,policy_risk
19,random_structured,structured,100000,18408,3e-05
19,oscillatory_fragmented,unstructured,100000,22118,0.18547
20,inventory_threshold,structured,100000,22944,0.0001
20,machine_replacement,structured,100000,22944,3e-05
20,admission_control,structured,100000,21838,6e-05
20,resource_allocation,structured,100000,22944,0.0
20,random_structured,structured,100000,22188,2e-05
20,oscillatory_fragmented,unstructured,100000,22118,0.18728
21,inventory_threshold,structured,100000,22944,5e-05
21,machine_replacement,structured,100000,22944,4e-05
21,admission_control,structured,100000,21838,4e-05
21,resource_allocation,structured,100000,22944,1e-05
21,random_structured,structured,100000,22944,5e-05
21,oscillatory_fragmented,unstructured,100000,22104,0.18372
22,inventory_threshold,structured,100000,22944,5e-05
22,machine_replacement,structured,100000,22944,5e-05
22,admission_control,structured,100000,21838,5e-05
22,resource_allocation,structured,100000,22944,4e-05
22,random_structured,structured,100000,19836,4e-05
22,oscillatory_fragmented,unstructured,100000,22104,0.18733
23,inventory_threshold,structured,100000,22944,3e-05
23,machine_replacement,structured,100000,22944,5e-05
23,admission_control,structured,100000,21838,4e-05
23,resource_allocation,structured,100000,22944,3e-05
23,random_structured,structured,100000,22636,1e-05
23,oscillatory_fragmented,unstructured,100000,22104,0.18571
24,inventory_threshold,structured,100000,22944,4e-05
24,machine_replacement,structured,100000,22944,4e-05
24,admission_control,structured,100000,21838,5e-05
24,resource_allocation,structured,100000,22944,5e-05
24,random_structured,structured,100000,21404,5e-05
24,oscillatory_fragmented,unstructured,100000,22132,0.18682
25,inventory_threshold,structured,100000,22944,6e-05
25,machine_replacement,structured,100000,22944,4e-05
25,admission_control,structured,100000,21838,3e-05
25,resource_allocation,structured,100000,22944,0.0
25,random_structured,structured,100000,22944,4e-05
25,oscillatory_fragmented,unstructured,100000,22118,0.18586
26,inventory_threshold,structured,100000,22944,6e-05
26,machine_replacement,structured,100000,22944,6e-05
26,admission_control,structured,100000,21838,6e-05
26,resource_allocation,structured,100000,22944,1e-05
26,random_structured,structured,100000,17484,3e-05
26,oscillatory_fragmented,unstructured,100000,22118,0.18577
27,inventory_threshold,structured,100000,22944,3e-05
27,machine_replacement,structured,100000,22944,4e-05
27,admission_control,structured,100000,21838,5e-05
27,resource_allocation,structured,100000,22944,1e-05
27,random_structured,structured,100000,19332,5e-05
27,oscillatory_fragmented,unstructured,100000,22104,0.18428
28,inventory_threshold,structured,100000,22944,3e-05
28,machine_replacement,structured,100000,22944,5e-05
