seed,family,strategy,samples,queries,d_H,policy_risk
0,random_structured,active_adaptive_bisection,5000,4920,0.0009706212660304248,0.00039
0,random_structured,uniform,10000,10000,0.019737477960427574,0.00581
0,random_structured,active_adaptive_bisection,10000,9784,0.0004855378684364142,0.00021
0,random_structured,uniform,25000,25000,0.005479820811177705,0.00148
0,random_structured,active_adaptive_bisection,25000,17556,0.00024337264234208095,0.0001
0,random_structured,uniform,50000,50000,0.002956951203348379,0.00105
0,random_structured,active_adaptive_bisection,50000,18780,0.00012199432726478499,5e-05
0,random_structured,uniform,100000,100000,0.001956533991147813,0.00069
0,random_structured,active_adaptive_bisection,100000,20004,6.1022492044204846e-05,4e-05
1,inventory_threshold,uniform,100,100,0.44999999999999996,0.27594
1,inventory_threshold,active_adaptive_bisection,100,84,0.03125,0.01812
1,inventory_threshold,uniform,200,200,1.0190915802326586,0.3431
1,inventory_threshold,active_adaptive_bisection,200,189,0.03125,0.01527
1,inventory_threshold,uniform,500,500,0.2505524633684654,0.11652
1,inventory_threshold,active_adaptive_bisection,500,480,0.015625,0.0099
1,inventory_threshold,uniform,1000,1000,0.1338666422197532,0.0904
1,inventory_threshold,active_adaptive_bisection,1000,999,0.0078125,0.00422
1,inventory_threshold,uniform,2000,2000,0.1463452459280964,0.04849
1,inventory_threshold,active_adaptive_bisection,2000,1980,0.00390625,0.00183
1,inventory_threshold,uniform,5000,5000,0.030228918047667808,0.01227
1,inventory_threshold,active_adaptive_bisection,5000,4968,0.0009765625,0.00048
1,inventory_threshold,uniform,10000,10000,0.014843820803787267,0.00551
1,inventory_threshold,active_adaptive_bisection,10000,9984,0.00048828125,0.00031
1,inventory_threshold,uniform,25000,25000,0.007637929282199807,0.00243
1,inventory_threshold,active_adaptive_bisection,25000,20076,0.000244140625,0.00028
1,inventory_threshold,uniform,50000,50000,0.004958392946467105,0.00194
1,inventory_threshold,active_adaptive_bisection,50000,21510,0.0001220703125,7e-05
1,inventory_threshold,uniform,100000,100000,0.0024758865616265613,0.00122
1,inventory_threshold,active_adaptive_bisection,100000,22944,6.103515625e-05,4e-05
1,machine_replacement,uniform,100,100,0.15217391304347827,0.10088
1,machine_replacement,active_adaptive_bisection,100,84,0.028373430962343127,0.01625
1,machine_replacement,uniform,200,200,0.8848462797889758,0.18361
1,machine_replacement,active_adaptive_bisection,200,189,0.027861788248135344,0.0153
1,machine_replacement,uniform,500,500,0.18058124690041027,0.11452
1,machine_replacement,active_adaptive_bisection,500,480,0.014988289066763694,0.00845
