family,strategy,samples,d_H_mean,d_H_sd,d_H_ci95,policy_risk_mean,policy_risk_sd,policy_risk_ci95,queries_mean,queries_sd,queries_ci95
inventory_threshold,uniform,50000,0.002938887486195017,0.0007787512139981995,0.0002786725429730132,0.0012666666666666668,0.0003560156266749841,0.00012739855584209477,50000.0,0.0,0.0
inventory_threshold,uniform,100000,0.0022522145427866847,0.00038523768714663335,0.00013785553588420164,0.0011760000000000002,0.00018792148030127024,6.724683808316871e-05,100000.0,0.0,0.0
machine_replacement,active_adaptive_bisection,100,0.028373430962343127,0.0,0.0,0.016193000000000003,0.0003742500547071116,0.0001339236621122766,84.0,0.0,0.0
machine_replacement,active_adaptive_bisection,200,0.03017841737247184,0.0007542706246649227,0.0002699122765870939,0.016288,0.00047344955672027033,0.0001694217480102556,189.0,0.0,0.0
machine_replacement,active_adaptive_bisection,500,0.015132942805764243,0.00030332604292837296,0.00010854383044722482,0.008070666666666665,0.0002995966637323256,0.00010720928924126329,480.0,0.0,0.0
machine_replacement,active_adaptive_bisection,1000,0.007439918112094085,0.00012261708837926218,4.3877961557405293e-05,0.003994333333333333,0.00023274498895799555,8.328672465774218e-05,999.0,0.0,0.0
machine_replacement,active_adaptive_bisection,2000,0.0037775027874492,5.495700691925612e-05,1.9666112356660794e-05,0.0018966666666666667,0.0001372722774667906,4.9122253620597304e-05,1980.0,0.0,0.0
machine_replacement,active_adaptive_bisection,5000,0.0009671121288806391,5.201233655258184e-06,1.861237559895438e-06,0.0007043333333333334,8.045917076952471e-05,2.8791944488570943e-05,4968.0,0.0,0.0
machine_replacement,active_adaptive_bisection,10000,0.00048561679237640073,2.0213833992979907e-06,7.233427596391616e-07,0.00032733333333333334,6.345964415895829e-05,2.2708742016780105e-05,9977.5,14.782911849788617,5.289997066683236
machine_replacement,active_adaptive_bisection,25000,0.0002437853175595306,0.0,0.0,0.0001533333333333334,3.262465043631816e-05,1.167458122346558e-05,20076.0,0.0,0.0
machine_replacement,active_adaptive_bisection,50000,0.00012171500505953059,0.0,0.0,6.3e-05,2.3510819226255284e-05,8.413238609955501e-06,21510.0,0.0,0.0
machine_replacement,active_adaptive_bisection,100000,6.067984880953059e-05,0.0,0.0,4.2000000000000004e-05,2.074475421850562e-05,7.423414959112309e-06,22944.0,0.0,0.0
