structure,policy_risk_mean,policy_risk_sd,policy_risk_ci95,queries_mean,queries_sd,queries_ci95
structured,3.973333333333335e-05,1.9795825831673234e-05,3.167991925207585e-06,22256.133333333335,1212.254002813686,194.00104470861183
unstructured,0.18565166666666666,0.0012378487549898364,0.00044295848811324435,22114.266666666666,7.291626436670629,2.6092750097734716
