strategy,samples,d_H_mean,d_H_sd,d_H_ci95,policy_risk_mean,policy_risk_sd,policy_risk_ci95,queries_mean,queries_sd,queries_ci95
active_adaptive_bisection,100,0.04704746847304284,0.029124921309169095,0.004660958139070225,0.025079399999999998,0.011427543391286316,0.0018287878210481476,81.0,4.915391523114243,0.7866264730186058
active_adaptive_bisection,200,0.03132143720272116,0.002531291929333738,0.00040509107630366494,0.018638866666666663,0.003312680039259088,0.0005301392174494639,183.4,9.010061490006125,1.4419101425055594
active_adaptive_bisection,500,0.01635346282547558,0.0026328255768190223,0.0004213398440037528,0.009132533333333335,0.0012670062938067283,0.0002027632361537923,469.8,16.95275709595235,2.7130061684040934
active_adaptive_bisection,1000,0.007685583076887601,0.00025420684471361534,4.0681567833190054e-05,0.004564933333333333,0.0005719479803006758,9.153073979526797e-05,981.12,26.668212483160133,4.267802845143059
active_adaptive_bisection,2000,0.004152918462349714,0.0007906295902497939,0.00012652708601497217,0.0022332000000000003,0.0003800252905748642,6.081671268240668e-05,1957.6533333333334,36.54967873538636,5.84916679340416
active_adaptive_bisection,5000,0.001066310090366342,0.00022475073047798505,3.596760778727158e-05,0.0005824666666666667,0.0001140583664707183,1.8253140184910446e-05,4957.7733333333335,35.70538407441603,5.714051507424515
active_adaptive_bisection,10000,0.0004894758918826948,1.9859225690019815e-05,3.178138015651554e-06,0.0003004666666666667,6.540874750795404e-05,1.0467579665789842e-05,9922.246666666666,107.07044263848393,17.134839465217116
active_adaptive_bisection,25000,0.00024355246445389346,2.267424264105471e-06,3.628634551943176e-07,0.00016546666666666669,6.062965658216027e-05,9.702765831222592e-06,19486.32,1039.5596662035878,166.36419497261716
active_adaptive_bisection,50000,0.00012187942567162615,3.1680099142489023e-07,5.069871756125558e-08,7.493333333333333e-05,3.0161682137295157e-05,4.826874426665552e-06,20871.18,1126.1896383872197,180.22787788700197
active_adaptive_bisection,100000,6.088324228748517e-05,2.0978030962786982e-07,3.35718414891946e-08,3.973333333333335e-05,1.9795825831673234e-05,3.167991925207585e-06,22256.04,1212.8196105708537,194.09156080138672
uniform,100,0.41740415164771283,0.13478035334680122,0.02156934874604324,0.27035499999999996,0.09466497716514728,0.015149551517033023,100.0,0.0,0.0
uniform,200,0.6990803365852815,0.4374931537465445,0.07001348618581493,0.3149171333333334,0.11927352265201624,0.01908773899435308,200.0,0.0,0.0
uniform,500,0.4160076295544226,0.33132256686185196,0.053022653633272396,0.1616806,0.05793355257881811,0.009271299329913925,500.0,0.0,0.0
uniform,1000,0.21921432347186756,0.11568520916281579,0.018513489238088193,0.1188302,0.029248207642440283,0.004680688061510068,1000.0,0.0,0.0
uniform,2000,0.11509207836649755,0.05115979682948315,0.008187272641677101,0.05688166666666665,0.013345670208384515,0.002135752042685654,2000.0,0.0,0.0
uniform,5000,0.04314109624889923,0.017791903423468744,0.0028472975494378723,0.017752,0.006779464946914537,0.0010849403501363172,5000.0,0.0,0.0
uniform,10000,0.02434473849250718,0.014080328145497674,0.0022533217986712983,0.011235666666666666,0.007684144262213299,0.0012297191934207026,10000.0,0.0,0.0
uniform,25000,0.01778175981197892,0.01665641724538989,0.0026655819153478255,0.008921066666666666,0.008786005204027036,0.0014060536689838516,25000.0,0.0,0.0
uniform,50000,0.016046915938361744,0.01751024136726812,0.002802222232688356,0.008481200000000001,0.009135795878606879,0.0014620318353914812,50000.0,0.0,0.0
uniform,100000,0.015321393279175088,0.017792394631131962,0.0028473761590358704,0.0083278,0.009247848570408583,0.0014799640007804895,100000.0,0.0,0.0
