structure,C_B_mean,C_B_sd,C_B_ci95,C_R_mean,C_R_sd,C_R_ci95,F_mean,F_sd,F_ci95,C_top_mean,C_top_sd,C_top_ci95,C_D_mean,C_D_sd,C_D_ci95,table_to_boundary_ratio_mean,table_to_boundary_ratio_sd,table_to_boundary_ratio_ci95
structured,3.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,19.21003134796238,1.0016405130391988,0.16029586662617892,10.396687596764561,0.9034932056983863,0.1445890262154561
unstructured,3.0,0.0,0.0,34.0,0.0,0.0,8.5,0.0,0.0,45.5,0.0,0.0,96.5752351097179,2.890758581290855e-14,1.0344446730727602e-14,2.2653668675418706,4.516810283266961e-16,0.0
