structure,family,C_B_mean,C_B_sd,C_B_ci95,C_R_mean,C_R_sd,C_R_ci95,F_mean,F_sd,F_ci95,L_mean,L_sd,L_ci95,kappa_mean,kappa_sd,kappa_ci95,C_top_mean,C_top_sd,C_top_ci95,C_D_mean,C_D_sd,C_D_ci95,table_to_boundary_ratio_mean,table_to_boundary_ratio_sd,table_to_boundary_ratio_ci95
structured,admission_control,3.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,7.015673981191221,2.710086169960177e-15,3.2326396033523756e-16,3.5078369905956106,1.3550430849800884e-15,1.6163198016761878e-16,8.0,0.0,0.0,18.523510971786838,3.613448226613569e-15,1.2930558413409503e-15,10.98920258047122,5.420172339920354e-15,6.465279206704751e-16
structured,inventory_threshold,3.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,8.125391849529782,3.613448226613569e-15,6.465279206704751e-16,4.062695924764891,1.8067241133067846e-15,3.2326396033523756e-16,8.0,0.0,0.0,20.188087774294672,0.0,0.0,9.489196891815903,0.0,6.465279206704751e-16
structured,machine_replacement,3.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,6.808777429467084,0.0,0.0,3.404388714733542,0.0,0.0,8.0,0.0,0.0,18.213166144200624,1.0840344679840707e-14,1.2930558413409503e-15,11.322907081969548,1.8067241133067846e-15,1.2930558413409503e-15
structured,random_structured,3.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,7.015673981191223,0.2650314414735382,0.09484028330953584,3.5078369905956115,0.1325157207367691,0.04742014165476792,8.0,0.0,0.0,18.523510971786834,0.3975471622103074,0.14226042496430377,11.004352548926384,0.4153919528817291,0.14864610129563813
structured,resource_allocation,3.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,8.401253918495295,5.420172339920354e-15,1.2930558413409503e-15,4.200626959247647,2.710086169960177e-15,6.465279206704751e-16,8.0,0.0,0.0,20.601880877742946,1.0840344679840707e-14,1.2930558413409503e-15,9.177778880639748,1.8067241133067846e-15,6.465279206704751e-16
unstructured,oscillatory_fragmented,3.0,0.0,0.0,34.0,0.0,0.0,8.5,0.0,0.0,34.050156739811904,2.1680689359681415e-14,2.5861116826819005e-15,17.025078369905952,1.0840344679840707e-14,1.2930558413409503e-15,45.5,0.0,0.0,96.5752351097179,2.890758581290855e-14,1.0344446730727602e-14,2.2653668675418706,4.516810283266961e-16,0.0
