family,L_table_mean,L_table_sd,L_table_ci95,L_Gamma_mean,L_Gamma_sd,L_Gamma_ci95,L_Pi_struct_mean,L_Pi_struct_sd,L_Pi_struct_ci95,table_to_boundary_ratio_mean,table_to_boundary_ratio_sd,table_to_boundary_ratio_ci95,table_to_struct_policy_ratio_mean,table_to_struct_policy_ratio_sd,table_to_struct_policy_ratio_ci95
admission_control,204800.0,0.0,0.0,18636.47507635791,7.40034196810459e-12,1.324089181533133e-12,18644.47507635791,7.40034196810459e-12,1.324089181533133e-12,10.98920258047122,5.420172339920354e-15,6.465279206704751e-16,10.98448731655075,1.8067241133067846e-15,1.2930558413409503e-15
inventory_threshold,204800.0,0.0,0.0,21582.437621948044,0.0,1.324089181533133e-12,21590.437621948044,0.0,1.324089181533133e-12,9.489196891815903,0.0,6.465279206704751e-16,9.48568081787318,5.420172339920354e-15,6.465279206704751e-16
machine_replacement,204800.0,0.0,0.0,18087.22782209535,3.700170984052295e-12,0.0,18095.22782209535,3.700170984052295e-12,0.0,11.322907081969548,1.8067241133067846e-15,1.2930558413409503e-15,11.317901162312362,7.226896453227138e-15,1.2930558413409503e-15
random_structured,204800.0,0.0,0.0,18636.475076357914,703.5776590258556,251.7720318060244,18644.475076357914,703.5776590258556,251.7720318060244,11.004352548926384,0.4153919528817291,0.14864610129563813,10.999617770519722,0.4150347540490224,0.14851827933495532
resource_allocation,204800.0,0.0,0.0,22314.767294298137,1.8500854920261472e-11,2.648178363066266e-12,22322.767294298137,1.8500854920261472e-11,2.648178363066266e-12,9.177778880639748,1.8067241133067846e-15,6.465279206704751e-16,9.174489761953113,0.0,0.0
