seed,budget,boundary,dH_j
2,10000,B0,7.710720504722248e-05
2,10000,B1,5.7636671713501284e-05
2,10000,B2,5.225245171939478e-05
2,25000,B0,2.9785434444347945e-05
2,25000,B1,2.5475032745559535e-05
2,25000,B2,3.1793269864095357e-05
2,50000,B0,2.2598676883516705e-05
2,50000,B1,3.357459676575848e-05
2,50000,B2,2.19147489189232e-05
2,100000,B0,2.617992470888238e-05
2,100000,B1,1.9721295613270336e-05
2,100000,B2,2.2236398527502728e-05
3,100,B0,0.004426180858705797
3,100,B1,0.0034092407865858754
3,100,B2,0.004494199874949235
3,200,B0,0.0024405175229922885
3,200,B1,0.0017272426482265483
3,200,B2,0.0017818626747089837
3,500,B0,0.0008890175883998418
3,500,B1,0.0008726014612320653
3,500,B2,0.000670779755706983
3,1000,B0,0.00041225722042658564
3,1000,B1,0.0004459910742898077
3,1000,B2,0.00032674119229155515
3,2000,B0,0.00022426088241935191
3,2000,B1,0.0002105923363960237
3,2000,B2,0.00016996341019646992
3,5000,B0,0.00012322721280496102
3,5000,B1,0.00012208877718401955
3,5000,B2,9.778248628205844e-05
3,10000,B0,5.170904861402949e-05
3,10000,B1,5.2718541198092274e-05
3,10000,B2,4.076786589289016e-05
3,25000,B0,3.19583968374693e-05
3,25000,B1,3.025437950781408e-05
3,25000,B2,2.8437432648033006e-05
3,50000,B0,1.7647577271243972e-05
3,50000,B1,3.568608328631359e-05
3,50000,B2,2.6069341068127673e-05
3,100000,B0,2.753357094807876e-05
3,100000,B1,2.3098622910728893e-05
3,100000,B2,1.7910927115492335e-05
4,100,B0,0.004760793227147619
4,100,B1,0.003718825868722008
4,100,B2,0.0036544560164001013
4,200,B0,0.002159003817116728
4,200,B1,0.002934411934434005
4,200,B2,0.0019812990499961758
4,500,B0,0.0008914217893403467
4,500,B1,0.0007667648033746037
4,500,B2,0.0007505378395112532
4,1000,B0,0.0004263628352564929
4,1000,B1,0.0003806498336976847
4,1000,B2,0.00037425860970705647
4,2000,B0,0.0002002117347705429
4,2000,B1,0.00018379542084985635
