seed,method,C_D,R_pi,C_bin
3,unstructured table,138.1995569737123,0.09419097568103686,"(113.684, 149.184]"
3,structured active boundary,34.322376260267525,0.00022997086900099345,"(6.902, 42.685]"
3,unstructured table,174.04710712209982,0.07145264170888521,"(149.184, 184.683]"
3,structured active boundary,45.491719529739825,5.156582387714708e-05,"(42.685, 78.185]"
3,unstructured table,227.43425658934322,0.05604380783540268,"(220.183, 255.682]"
3,structured active boundary,57.70683382399411,3.1212403131910346e-05,"(42.685, 78.185]"
3,unstructured table,285.045810924005,0.039143618506343215,"(255.682, 291.182]"
4,structured active boundary,7.813128495367893,0.024061768874581363,"(6.902, 42.685]"
4,unstructured table,57.91915784588993,0.14821240402233934,"(42.685, 78.185]"
4,structured active boundary,10.031185273905225,0.01402911865374978,"(6.902, 42.685]"
4,unstructured table,66.39406083148154,0.15195263736811274,"(42.685, 78.185]"
4,structured active boundary,13.253050087220346,0.008325472338751885,"(6.902, 42.685]"
4,unstructured table,78.84219007438435,0.1198004302811756,"(78.185, 113.684]"
4,structured active boundary,16.260721501535155,0.005772517117743843,"(6.902, 42.685]"
4,unstructured table,90.64693315319933,0.12302585589128817,"(78.185, 113.684]"
4,structured active boundary,20.07266732372692,0.002428351145019134,"(6.902, 42.685]"
4,unstructured table,110.51647415960866,0.09992610500739295,"(78.185, 113.684]"
4,structured active boundary,26.557075853072767,0.0007859465200753798,"(6.902, 42.685]"
4,unstructured table,129.40457045372654,0.0848875540407913,"(113.684, 149.184]"
4,structured active boundary,34.22582661047378,0.0002069352700364886,"(6.902, 42.685]"
4,unstructured table,175.9133566045678,0.07690145499742321,"(149.184, 184.683]"
4,structured active boundary,45.0626064660389,5.695711928802596e-05,"(42.685, 78.185]"
4,unstructured table,221.03728432111876,0.06054958297102443,"(220.183, 255.682]"
4,structured active boundary,57.73510207022773,3.1659540395325306e-05,"(42.685, 78.185]"
4,unstructured table,286.1456032806408,0.04179041829502853,"(255.682, 291.182]"
5,structured active boundary,8.225770109012386,0.022165777033900373,"(6.902, 42.685]"
5,unstructured table,59.614837854580884,0.16131855773031747,"(42.685, 78.185]"
5,structured active boundary,10.559934745985696,0.01523895629758729,"(6.902, 42.685]"
5,unstructured table,66.6241964944715,0.15005678803045902,"(42.685, 78.185]"
5,structured active boundary,11.648543126547436,0.009605741758584866,"(6.902, 42.685]"
5,unstructured table,79.50939631940723,0.13011810214231995,"(78.185, 113.684]"
5,structured active boundary,16.289067558574057,0.005204214523288957,"(6.902, 42.685]"
5,unstructured table,88.87208674350283,0.1142427667943592,"(78.185, 113.684]"
5,structured active boundary,20.025255185771478,0.002473182121007066,"(6.902, 42.685]"
5,unstructured table,110.24922734675071,0.10128947638431486,"(78.185, 113.684]"
5,structured active boundary,25.98979473230086,0.0008152846871426246,"(6.902, 42.685]"
5,unstructured table,139.5377436087865,0.09497962509313354,"(113.684, 149.184]"
5,structured active boundary,34.461599250530604,0.00022931587836505897,"(6.902, 42.685]"
5,unstructured table,173.7139292157081,0.07604430266821112,"(149.184, 184.683]"
5,structured active boundary,44.96901065947348,5.963010985816535e-05,"(42.685, 78.185]"
5,unstructured table,227.67767830531807,0.05490858412664856,"(220.183, 255.682]"
5,structured active boundary,58.761237160186674,3.747366248520133e-05,"(42.685, 78.185]"
5,unstructured table,288.37415522142464,0.03446813365232507,"(255.682, 291.182]"
6,structured active boundary,8.013752099914702,0.02233976706572737,"(6.902, 42.685]"
6,unstructured table,57.20090685659453,0.15859771776811507,"(42.685, 78.185]"
6,structured active boundary,9.837792880556096,0.013711361782013818,"(6.902, 42.685]"
6,unstructured table,65.36594842158529,0.12998617058057776,"(42.685, 78.185]"
6,structured active boundary,12.888147232729551,0.00871222215897822,"(6.902, 42.685]"
6,unstructured table,78.52640580944,0.1280534771814827,"(78.185, 113.684]"
6,structured active boundary,15.2076176337541,0.004924682342805013,"(6.902, 42.685]"
6,unstructured table,91.19834198208184,0.10296459436461933,"(78.185, 113.684]"
6,structured active boundary,20.435304341491108,0.0025659733175197453,"(6.902, 42.685]"
6,unstructured table,110.93490772371625,0.11374729717609505,"(78.185, 113.684]"
6,structured active boundary,26.53598089602337,0.0009943625874465002,"(6.902, 42.685]"
6,unstructured table,139.00094724052875,0.08660901638724315,"(113.684, 149.184]"
6,structured active boundary,34.14023141252864,0.0002211560869229549,"(6.902, 42.685]"
6,unstructured table,180.54814169360043,0.07646118179628639,"(149.184, 184.683]"
6,structured active boundary,44.25654077157278,5.473392991554668e-05,"(42.685, 78.185]"
6,unstructured table,225.8793489532817,0.047455448882666465,"(220.183, 255.682]"
6,structured active boundary,58.67696784366432,3.998080465575358e-05,"(42.685, 78.185]"
6,unstructured table,283.63716968256864,0.036647170870846346,"(255.682, 291.182]"
7,structured active boundary,8.341489152362161,0.020977348312800268,"(6.902, 42.685]"
7,unstructured table,52.93165861200241,0.1518181442275611,"(42.685, 78.185]"
7,structured active boundary,10.62094938402165,0.016375399421087077,"(6.902, 42.685]"
7,unstructured table,64.51859404894184,0.13705501843346557,"(42.685, 78.185]"
7,structured active boundary,12.973616644623078,0.009219727192000794,"(6.902, 42.685]"
7,unstructured table,78.13078369504059,0.13320351672180197,"(42.685, 78.185]"
7,structured active boundary,16.104322259485116,0.005716994843761422,"(6.902, 42.685]"
7,unstructured table,91.15604760405357,0.12864745395297225,"(78.185, 113.684]"
7,structured active boundary,19.93831679365691,0.002902273839842044,"(6.902, 42.685]"
7,unstructured table,106.6723929421887,0.11753465875243607,"(78.185, 113.684]"
7,structured active boundary,25.833058297348853,0.0008236471343181518,"(6.902, 42.685]"
7,unstructured table,131.97077719963576,0.0855644804104462,"(113.684, 149.184]"
7,structured active boundary,34.198513205320076,0.00022300386170677169,"(6.902, 42.685]"
7,unstructured table,171.50383020587716,0.07378472786529375,"(149.184, 184.683]"
7,structured active boundary,44.73106720974833,6.257798271985267e-05,"(42.685, 78.185]"
7,unstructured table,226.05340434072522,0.05245383651491713,"(220.183, 255.682]"
7,structured active boundary,58.113989045833186,3.606053389303982e-05,"(42.685, 78.185]"
7,unstructured table,287.76096961500923,0.04043943521472675,"(255.682, 291.182]"
8,structured active boundary,7.96246530421881,0.0200559579182138,"(6.902, 42.685]"
8,unstructured table,58.709761759241154,0.13587861851497335,"(42.685, 78.185]"
8,structured active boundary,9.361783265391338,0.015291838451720356,"(6.902, 42.685]"
8,unstructured table,69.8989940786575,0.14651468044671948,"(42.685, 78.185]"
8,structured active boundary,12.692263463818342,0.008628986096110725,"(6.902, 42.685]"
8,unstructured table,80.78995430352568,0.13203470182849,"(78.185, 113.684]"
8,structured active boundary,16.276614061646175,0.005332942540848657,"(6.902, 42.685]"
8,unstructured table,92.61867246254066,0.10292648231082502,"(78.185, 113.684]"
8,structured active boundary,20.300051308529838,0.0023551237480923253,"(6.902, 42.685]"
8,unstructured table,108.84635069968503,0.10943946344595837,"(78.185, 113.684]"
8,structured active boundary,25.424456515053972,0.0008171523644594055,"(6.902, 42.685]"
8,unstructured table,137.096298108213,0.09473055102999373,"(113.684, 149.184]"
8,structured active boundary,34.82215942801452,0.0002346715326679253,"(6.902, 42.685]"
8,unstructured table,171.8739215974412,0.07181676711228126,"(149.184, 184.683]"
8,structured active boundary,44.6111728619557,5.102912959166129e-05,"(42.685, 78.185]"
8,unstructured table,224.2268948606533,0.055059157046543336,"(220.183, 255.682]"
8,structured active boundary,57.14638788809461,3.896460838490626e-05,"(42.685, 78.185]"
8,unstructured table,286.52674018842083,0.04119879170951626,"(255.682, 291.182]"
9,structured active boundary,8.486582559584967,0.0213412671894408,"(6.902, 42.685]"
9,unstructured table,56.121090221562056,0.1584219211050365,"(42.685, 78.185]"
9,structured active boundary,9.598337751903365,0.015568103989751008,"(6.902, 42.685]"
9,unstructured table,65.54522774693089,0.1411183340917744,"(42.685, 78.185]"
9,structured active boundary,13.620559553472578,0.008948346623414472,"(6.902, 42.685]"
9,unstructured table,78.58688110484924,0.12788551323818073,"(78.185, 113.684]"
9,structured active boundary,15.86198600514874,0.005617790518267245,"(6.902, 42.685]"
9,unstructured table,89.69870494121888,0.117174582953537,"(78.185, 113.684]"
9,structured active boundary,20.011330694266114,0.0024702501107578393,"(6.902, 42.685]"
9,unstructured table,112.71230324966398,0.11681478182511223,"(78.185, 113.684]"
9,structured active boundary,25.846625272977814,0.0009545003610672469,"(6.902, 42.685]"
9,unstructured table,140.7075638149079,0.08147676709203408,"(113.684, 149.184]"
9,structured active boundary,33.77811722613292,0.00021558310800826042,"(6.902, 42.685]"
9,unstructured table,172.74507276020907,0.07236317940662927,"(149.184, 184.683]"
9,structured active boundary,44.51809057446486,6.375910297305568e-05,"(42.685, 78.185]"
9,unstructured table,226.6093236585425,0.05480448585412734,"(220.183, 255.682]"
9,structured active boundary,57.739512994178014,4.0027902408797334e-05,"(42.685, 78.185]"
9,unstructured table,287.02039982538196,0.04148428301912793,"(255.682, 291.182]"
10,structured active boundary,8.472777481653774,0.021715233045688634,"(6.902, 42.685]"
10,unstructured table,56.77944506565055,0.1689736010958308,"(42.685, 78.185]"
10,structured active boundary,9.482218815828478,0.016438772173962012,"(6.902, 42.685]"
10,unstructured table,62.27006107662581,0.15145205503943562,"(42.685, 78.185]"
10,structured active boundary,12.69054863073205,0.00883057896965955,"(6.902, 42.685]"
10,unstructured table,79.39068780156245,0.1237684889844825,"(78.185, 113.684]"
10,structured active boundary,16.722720841591947,0.0046877877846611,"(6.902, 42.685]"
10,unstructured table,89.79583174134451,0.12027306981838247,"(78.185, 113.684]"
10,structured active boundary,20.296908328490456,0.002463537710506338,"(6.902, 42.685]"
10,unstructured table,112.11415804137677,0.09355729960274548,"(78.185, 113.684]"
10,structured active boundary,26.160611107871567,0.0007785932186797443,"(6.902, 42.685]"
10,unstructured table,144.2684459979166,0.09873738101763647,"(113.684, 149.184]"
10,structured active boundary,34.44367793110315,0.00022331251495137227,"(6.902, 42.685]"
10,unstructured table,172.76451030199757,0.07362935143359085,"(149.184, 184.683]"
10,structured active boundary,44.93853883322299,5.1468584399335153e-05,"(42.685, 78.185]"
10,unstructured table,224.56194511573358,0.057495539982949685,"(220.183, 255.682]"
10,structured active boundary,58.088663848797246,4.202649705372929e-05,"(42.685, 78.185]"
10,unstructured table,286.0353822549623,0.03457348523314959,"(255.682, 291.182]"
11,structured active boundary,8.2083384748123,0.021704288866702764,"(6.902, 42.685]"
11,unstructured table,53.2176229557659,0.14698340172584565,"(42.685, 78.185]"
11,structured active boundary,10.151208870190684,0.017009132705343457,"(6.902, 42.685]"
11,unstructured table,65.20742458554129,0.14077823516700344,"(42.685, 78.185]"
11,structured active boundary,13.299402949473214,0.009411574565379667,"(6.902, 42.685]"
11,unstructured table,83.8035145927664,0.14127472322163184,"(78.185, 113.684]"
11,structured active boundary,15.810386635094948,0.005535947323597431,"(6.902, 42.685]"
11,unstructured table,88.22281414043431,0.11678797169225227,"(78.185, 113.684]"
11,structured active boundary,19.56920540491842,0.0024020262360694737,"(6.902, 42.685]"
11,unstructured table,108.46911259812364,0.10672536235830556,"(78.185, 113.684]"
11,structured active boundary,25.963000790517277,0.0008447147116506674,"(6.902, 42.685]"
11,unstructured table,134.80448096782644,0.09303908697378627,"(113.684, 149.184]"
11,structured active boundary,34.83336989652983,0.00020852227089510249,"(6.902, 42.685]"
11,unstructured table,172.56202787853587,0.07139567033030605,"(149.184, 184.683]"
11,structured active boundary,44.560975148634064,5.777267281552334e-05,"(42.685, 78.185]"
11,unstructured table,222.59480388170994,0.0549659390290785,"(220.183, 255.682]"
11,structured active boundary,57.92293155740074,4.1379148657286714e-05,"(42.685, 78.185]"
11,unstructured table,281.55279224104015,0.040998903661785276,"(255.682, 291.182]"
12,structured active boundary,8.621271627171202,0.024580079062373535,"(6.902, 42.685]"
12,unstructured table,55.095568887952815,0.14164995988474033,"(42.685, 78.185]"
12,structured active boundary,9.710782255964881,0.01656590797631403,"(6.902, 42.685]"
12,unstructured table,57.561815581058774,0.12904632174204766,"(42.685, 78.185]"
12,structured active boundary,13.117473635481964,0.009080420034616518,"(6.902, 42.685]"
12,unstructured table,77.97858507576794,0.14493527471097006,"(42.685, 78.185]"
12,structured active boundary,15.21387745234349,0.0058858883624997626,"(6.902, 42.685]"
12,unstructured table,92.95386138227647,0.10598298012786506,"(78.185, 113.684]"
12,structured active boundary,19.958874845203574,0.0023970762069494057,"(6.902, 42.685]"
12,unstructured table,108.84963217841167,0.12351105504497267,"(78.185, 113.684]"
12,structured active boundary,26.145905718815268,0.0008341800814326266,"(6.902, 42.685]"
12,unstructured table,137.66399943578358,0.09444162508584637,"(113.684, 149.184]"
12,structured active boundary,33.86990830766756,0.00021889481841879112,"(6.902, 42.685]"
12,unstructured table,177.44940158775168,0.07034781308678155,"(149.184, 184.683]"
12,structured active boundary,45.4093438496943,5.187811300031431e-05,"(42.685, 78.185]"
12,unstructured table,226.9588105442485,0.05863985023968659,"(220.183, 255.682]"
12,structured active boundary,58.256681750218995,3.8005466658150855e-05,"(42.685, 78.185]"
12,unstructured table,286.45770693057716,0.04048483757354013,"(255.682, 291.182]"
13,structured active boundary,7.908720594966697,0.020123765414166675,"(6.902, 42.685]"
13,unstructured table,58.723412690482725,0.16024021859434473,"(42.685, 78.185]"
13,structured active boundary,10.345587918195982,0.01727538850939182,"(6.902, 42.685]"
13,unstructured table,63.69945524852364,0.14677853441364055,"(42.685, 78.185]"
13,structured active boundary,12.780462349727735,0.008605021883814722,"(6.902, 42.685]"
13,unstructured table,74.83439591968309,0.12450258926263033,"(42.685, 78.185]"
13,structured active boundary,16.219534287819975,0.0051260958949496645,"(6.902, 42.685]"
13,unstructured table,90.47164597719443,0.12238399272980005,"(78.185, 113.684]"
13,structured active boundary,19.240796176620968,0.00276263242129843,"(6.902, 42.685]"
13,unstructured table,111.2879548348079,0.11356266217622064,"(78.185, 113.684]"
13,structured active boundary,25.61180192862928,0.0008883947526666979,"(6.902, 42.685]"
13,unstructured table,135.91688432854752,0.0983310588527316,"(113.684, 149.184]"
13,structured active boundary,33.66373457439244,0.00018883609057315052,"(6.902, 42.685]"
13,unstructured table,169.66687072092438,0.06758295764185641,"(149.184, 184.683]"
13,structured active boundary,44.66013932394256,6.147863116399686e-05,"(42.685, 78.185]"
13,unstructured table,226.525032016675,0.05463296907553628,"(220.183, 255.682]"
13,structured active boundary,57.062694443390804,4.0585102105591064e-05,"(42.685, 78.185]"
13,unstructured table,286.3949712687313,0.03801322709198433,"(255.682, 291.182]"
14,structured active boundary,8.4092972698264,0.023655016759508943,"(6.902, 42.685]"
14,unstructured table,57.258993278971964,0.15882742289839843,"(42.685, 78.185]"
14,structured active boundary,9.588213148296356,0.01672094989468041,"(6.902, 42.685]"
14,unstructured table,63.401203644905536,0.14102242221657468,"(42.685, 78.185]"
14,structured active boundary,12.910692714055825,0.00894634463405656,"(6.902, 42.685]"
14,unstructured table,75.11354515138257,0.1306520554753473,"(42.685, 78.185]"
14,structured active boundary,15.773612238772397,0.00528526927613229,"(6.902, 42.685]"
14,unstructured table,89.49486523054469,0.12494232462506256,"(78.185, 113.684]"
14,structured active boundary,20.297250889373178,0.00267184515236261,"(6.902, 42.685]"
14,unstructured table,111.46706072391059,0.10090981034545785,"(78.185, 113.684]"
14,structured active boundary,25.67653296399438,0.0007820537089735612,"(6.902, 42.685]"
14,unstructured table,135.6089684706362,0.09501678860535967,"(113.684, 149.184]"
14,structured active boundary,34.54226320119422,0.00022667563021154925,"(6.902, 42.685]"
14,unstructured table,179.34627638376278,0.06445083086085439,"(149.184, 184.683]"
14,structured active boundary,44.20582400889476,4.877455188822536e-05,"(42.685, 78.185]"
14,unstructured table,226.0144139496296,0.054355255791739776,"(220.183, 255.682]"
14,structured active boundary,58.62615883494636,3.501979710541002e-05,"(42.685, 78.185]"
