geometry,seed,method,budget,n_boundaries,slope,curvature,dH,R_pi,C_D
0,0,active,10000,3,0.6763449345994544,0.08643075341282644,6.61540415533568e-05,4.9750934384736417e-05,15.800529232332428
0,0,uniform,10000,3,0.6763449345994544,0.08643075341282644,0.04188667146953587,0.029800809696457112,83.34103643634057
0,1,active,10000,3,0.6763449345994544,0.08643075341282644,8.504789951769079e-05,7.462640157710462e-05,15.800680383196143
0,1,uniform,10000,3,0.6763449345994544,0.08643075341282644,0.053849671805710334,0.05543497863819255,84.49457403871867
0,2,active,10000,3,0.6763449345994544,0.08643075341282644,6.725313872023297e-05,5.596980118282847e-05,15.800538025109763
0,2,uniform,10000,3,0.6763449345994544,0.08643075341282644,0.042582585443364324,0.04063407565873346,83.82853340464301
0,3,active,10000,3,0.6763449345994544,0.08643075341282644,0.00010824710654359915,4.353206758664436e-05,15.80086597685235
0,3,uniform,10000,3,0.6763449345994544,0.08643075341282644,0.06853868460417001,0.0326241752227909,83.4680878850256
0,4,active,10000,3,0.6763449345994544,0.08643075341282644,6.801073648385336e-05,3.731320078855231e-05,15.800544085891872
0,4,uniform,10000,3,0.6763449345994544,0.08643075341282644,0.04306227266857181,0.016647906418492422,82.74915578883216
0,5,active,10000,3,0.6763449345994544,0.08643075341282644,8.185099125337936e-05,4.353206758664436e-05,15.800654807930028
0,5,uniform,10000,3,0.6763449345994544,0.08643075341282644,0.05182548941200692,0.021287181049869094,82.9579231472441
0,6,active,10000,3,0.6763449345994544,0.08643075341282644,7.352373641600352e-05,5.596980118282847e-05,15.800588189891329
0,6,uniform,10000,3,0.6763449345994544,0.08643075341282644,0.046552931917025656,0.03529206907917239,83.58814310856276
0,7,active,10000,3,0.6763449345994544,0.08643075341282644,3.087196520799862e-05,4.353206758664436e-05,15.800246975721665
0,7,uniform,10000,3,0.6763449345994544,0.08643075341282644,0.019547163467589015,0.010012375544928204,82.45055689952177
0,8,active,10000,3,0.6763449345994544,0.08643075341282644,9.755945733002855e-05,0.00012437733596184103,15.800780475658641
0,8,uniform,10000,3,0.6763449345994544,0.08643075341282644,0.061771599164216345,0.06342622247374083,84.85418001131833
0,9,active,10000,3,0.6763449345994544,0.08643075341282644,0.0001658136346900027,0.0001430339363561172,15.801326509077521
0,9,uniform,10000,3,0.6763449345994544,0.08643075341282644,0.10498801098685029,0.06980056094178519,85.14102524238034
0,10,active,10000,3,0.6763449345994544,0.08643075341282644,5.209857917644334e-05,6.840753477901257e-05,15.800416788633413
0,10,uniform,10000,3,0.6763449345994544,0.08643075341282644,0.032987191995399165,0.025149097331484255,83.13170937991678
0,11,active,10000,3,0.6763449345994544,0.08643075341282644,0.00012787518350571708,8.706413517328872e-05,15.801023001468046
0,11,uniform,10000,3,0.6763449345994544,0.08643075341282644,0.08096656946179875,0.05851953657004621,84.63337914565209
0,12,active,10000,3,0.6763449345994544,0.08643075341282644,9.780923467028746e-05,4.353206758664436e-05,15.800782473877362
0,12,uniform,10000,3,0.6763449345994544,0.08643075341282644,0.06192975036929753,0.04055944925715636,83.82517521657203
