seed,budget,method,dH,R_pi
6,1000,active,0.0008225358878623593,0.0006965130813863098
6,1000,uniform,0.15369968540236503,0.12202038544536414
6,2000,active,0.00046487065546835395,0.00031094333990460256
6,2000,uniform,0.13179472849790236,0.07786643117891058
6,5000,active,0.0002024058942755591,0.00016169053675039335
6,5000,uniform,0.09458040179171356,0.07312765467876443
6,10000,active,7.352373641600281e-05,8.084526837519668e-05
6,10000,uniform,0.046552931917025656,0.03831443834304513
6,25000,active,9.74367219532743e-05,9.328300197138078e-05
6,25000,uniform,0.07963692168743725,0.04276092810368095
6,50000,active,5.111224708420625e-05,6.218866798092052e-05
6,50000,uniform,0.045150101523364974,0.03934677023152841
6,100000,active,6.458031983197499e-05,8.084526837519668e-05
6,100000,uniform,0.05721156195973624,0.04017387951567465
7,100,active,0.005728958357129561,0.0025932674548043854
7,100,uniform,0.25466773074193205,0.10276677383847116
7,200,active,0.001132741440613337,0.000721388548578678
7,200,uniform,0.07759482219172076,0.04963899478237076
7,500,active,0.0016870783685706775,0.0010945205564642012
7,500,uniform,0.20505439225958683,0.13301534194439088
7,1000,active,0.0008487755553894388,0.0006218866798092051
7,1000,uniform,0.1586028497548194,0.12062735928259152
7,2000,active,0.00020078462161620542,0.00019900373753894567
7,2000,uniform,0.05692412369158514,0.052854148916984346
7,5000,active,0.0001832570014380086,0.00017412827034657744
7,5000,uniform,0.08563249054176347,0.0629100565294992
7,10000,active,3.087196520799862e-05,3.731320078855231e-05
7,10000,uniform,0.019547163467589015,0.012692707134905877
7,25000,active,3.6109956062520265e-05,4.353206758664436e-05
7,25000,uniform,0.029513367090364416,0.018905355066199836
7,50000,active,2.7107831774761595e-05,4.353206758664436e-05
7,50000,uniform,0.02394575520603562,0.014123046498467049
7,100000,active,8.310134289005178e-05,0.00010572073556756488
7,100000,uniform,0.07361929516701311,0.060888924820119275
8,100,active,0.006745539240944218,0.005441508448330545
8,100,uniform,0.2998575070778864,0.23062667520724373
8,200,active,0.0070899993851307255,0.004583304830193842
8,200,uniform,0.4856776859251595,0.350426925205689
8,500,active,0.0009227026722569246,0.00072760741537677
8,500,uniform,0.11214904963557876,0.0816039701245639
8,1000,active,0.001094091518378479,0.0007587017493672303
8,1000,uniform,0.2044427783123107,0.14186478939807587
8,2000,active,0.00043569850026693615,0.0004228829422702595
8,2000,uniform,0.12352417790658783,0.10368094725779069
8,5000,active,0.00022449851879114,0.00013059620275993308
8,5000,uniform,0.10490386253282623,0.06512397310961997
8,10000,active,9.755945733002761e-05,0.00014925280315420924
8,10000,uniform,0.06177159916421634,0.06970727793981381
8,25000,active,3.2887172587898114e-05,5.596980118282847e-05
8,25000,uniform,0.02687932368206832,0.014508616239948757
8,50000,active,6.106004219262438e-05,5.596980118282847e-05
8,50000,uniform,0.0539375054176949,0.037959962935553884
8,100000,active,6.206017685518207e-05,8.706413517328872e-05
8,100000,uniform,0.054978972891806546,0.05123102468268232
9,100,active,0.005435275819123939,0.0039054483492018083
9,100,uniform,0.24161274572544303,0.18953240340545147
9,200,active,0.003507370195288104,0.002991274929882277
9,200,uniform,0.24026115484620825,0.20017910336378505
9,500,active,0.0008229310507828707,0.0006529810137996655
9,500,uniform,0.10002239945308042,0.07906045360414425
9,1000,active,0.0009081385717309674,0.0006218866798092051
9,1000,uniform,0.16969546841239347,0.12052163854702397
9,2000,active,0.0005358711022512599,0.0003358188070969708
9,2000,uniform,0.15192395045870627,0.09654168817358101
9,5000,active,0.00010374038784165956,0.00013681506955802515
9,5000,uniform,0.04847589838828943,0.0431900299127493
9,10000,active,0.00016581363469000228,0.00012437733596184103
9,10000,uniform,0.10498801098685029,0.07446471104035422
9,25000,active,7.581928461680709e-05,6.840753477901257e-05
9,25000,uniform,0.06196857109298737,0.02697744417012332
9,50000,active,5.006120193789175e-05,6.840753477901257e-05
9,50000,uniform,0.04422165877680817,0.043805697725760415
9,100000,active,5.423591872263239e-05,8.084526837519668e-05
9,100000,uniform,0.048047479983289856,0.03942761549990361
10,100,active,0.004769344605071342,0.004048482285557925
10,100,uniform,0.2120102978560225,0.16263580450370332
10,200,active,0.0036791841461054804,0.0024253580512559
10,200,uniform,0.25203071891946127,0.1623497366309911
10,500,active,0.0032695002678910564,0.0026865504567757663
10,500,uniform,0.3973884099960004,0.24507310277921157
10,1000,active,0.0007124657501761875,0.0003358188070969708
10,1000,uniform,0.13313189524975008,0.07228188879422391
10,2000,active,0.00020222312405839265,0.0002176603379332218
10,2000,uniform,0.05733195119494371,0.052120322634809486
10,5000,active,9.824806453342244e-05,9.328300197138078e-05
10,5000,uniform,0.045909440790201934,0.03573982748863502
10,10000,active,5.209857917644334e-05,8.706413517328872e-05
10,10000,uniform,0.032987191995399165,0.027530923315153513
10,25000,active,0.00010143163376110514,0.00012437733596184103
10,25000,uniform,0.08290204055041171,0.08108780418032226
10,50000,active,6.372736306085869e-05,9.328300197138078e-05
10,50000,uniform,0.05629368842406885,0.05001212679025628
10,100000,active,3.109086189862628e-05,2.4875467192368208e-05
10,100000,uniform,0.027543325528919495,0.017543423237417678
11,100,active,0.004943087156130718,0.0035323163413162853
11,100,uniform,0.2197336252836946,0.15442068146342375
11,200,active,0.003504527129985252,0.002885554194314712
11,200,uniform,0.24006639976906075,0.2091529281534319
11,500,active,0.0012601830990496068,0.000721388548578678
11,500,uniform,0.15316779844100992,0.0768340992904273
11,1000,active,0.0006275763279611699,0.0005348225446359165
11,1000,uniform,0.11726939285808932,0.09758645779566047
11,2000,active,0.0006451462663898601,0.0005037282106454562
11,2000,uniform,0.18290437570129103,0.1284693503149856
11,5000,active,0.00014687325469409294,0.00013059620275993308
11,5000,uniform,0.06863106181341483,0.05728198207722589
11,10000,active,0.00012787518350571708,9.950186876947283e-05
11,10000,uniform,0.08096656946179875,0.06490631277168675
11,25000,active,8.76092146687679e-05,5.596980118282847e-05
11,25000,uniform,0.07160470947518785,0.03707066498342672
11,50000,active,2.1823343222718283e-05,3.109433399046026e-05
11,50000,uniform,0.019277692105017473,0.011511122443268388
11,100000,active,5.760988716998344e-05,0.00010572073556756488
11,100000,uniform,0.05103647114007182,0.05614392945317504
12,100,active,0.0064600246919453985,0.003495003140527733
12,100,uniform,0.28716561131696916,0.15096921039048264
12,200,active,0.0034473990080954708,0.0024564523852463604
12,200,uniform,0.23615302086258663,0.16263580450370332
12,500,active,0.0022103599087570677,0.0014614336975516322
12,500,uniform,0.2686561669029779,0.18649137754118444
12,1000,active,0.0006813637924420052,0.00034203767389506286
12,1000,uniform,0.1273201596285991,0.06113767949204296
12,2000,active,0.0005690692349989085,0.0005907923458187449
