family,R_pi_mean,R_pi_sd,R_pi_ci95
structured,6.05303035014293e-05,2.592209333907725e-05,9.276101969583789e-06
piecewise_linear,0.0007228396174982326,0.00032415413994866995,0.00011599706924493438
random_monotone,0.0045944987904304084,0.0020958993081388413,0.0007500079351603814
oscillatory,0.010938157515604174,0.004981788886458645,0.0017827102578967357
checkerboard,0.7553870933638472,0.0,0.0
random_labels,0.7542407489173988,0.011726782728140775,0.0041963753057475866
