seed,family,R_pi
17,random_labels,0.7486023096871288
18,structured,3.731320078855231e-05
18,piecewise_linear,0.0002052226043370377
18,random_monotone,0.001069645089271833
18,oscillatory,0.002611924055198662
18,checkerboard,0.7553870933638472
18,random_labels,0.7544169501433449
19,structured,7.462640157710462e-05
19,piecewise_linear,0.0009390488865118997
19,random_monotone,0.005889266857793173
19,oscillatory,0.014353144569996455
19,checkerboard,0.7553870933638472
19,random_labels,0.7384220247386521
20,structured,4.9750934384736417e-05
20,piecewise_linear,0.0005161659442416402
20,random_monotone,0.0030907767986517497
20,oscillatory,0.007394232622931449
20,checkerboard,0.7553870933638472
20,random_labels,0.7545164520121144
21,structured,4.353206758664436e-05
21,piecewise_linear,0.0004601961430588118
21,random_monotone,0.002885554194314712
21,oscillatory,0.006865628945093625
21,checkerboard,0.7553870933638472
21,random_labels,0.7412142959309954
22,structured,1.8656600394276155e-05
22,piecewise_linear,0.00016169053675039335
22,random_monotone,0.0010323318884832805
22,oscillatory,0.002531078786823465
22,checkerboard,0.7553870933638472
22,random_labels,0.7533659616544673
23,structured,8.706413517328872e-05
23,piecewise_linear,0.0009514866201080839
23,random_monotone,0.006268617732476788
23,oscillatory,0.014919061448622832
23,checkerboard,0.7553870933638472
23,random_labels,0.7411521072630145
24,structured,4.9750934384736417e-05
24,piecewise_linear,0.0005534791450301926
24,random_monotone,0.003252467335402143
24,oscillatory,0.007866866499586445
24,checkerboard,0.7553870933638472
24,random_labels,0.7662576725269121
25,structured,6.218866798092052e-05
25,piecewise_linear,0.000603230079414929
25,random_monotone,0.004191516221914043
25,oscillatory,0.009794715206994981
25,checkerboard,0.7553870933638472
25,random_labels,0.7533535239208712
26,structured,7.462640157710462e-05
26,piecewise_linear,0.0009825809540985441
26,random_monotone,0.006131802662918763
26,oscillatory,0.014937718049017109
26,checkerboard,0.7553870933638472
26,random_labels,0.7558721649740984
27,structured,3.731320078855231e-05
27,piecewise_linear,0.0004726338766549959
27,random_monotone,0.0030907767986517497
27,oscillatory,0.007574579760076119
27,checkerboard,0.7553870933638472
27,random_labels,0.7555612216341938
28,structured,3.109433399046026e-05
28,piecewise_linear,0.00044775840946262774
28,random_monotone,0.0027984900591414234
28,oscillatory,0.006703938408343232
28,checkerboard,0.7553870933638472
28,random_labels,0.7361956704249352
29,structured,7.462640157710462e-05
29,piecewise_linear,0.000715169681780586
29,random_monotone,0.004707682166155683
29,oscillatory,0.01133699417292181
29,checkerboard,0.7553870933638472
29,random_labels,0.747806294736973
