x,z,method
-0.34109351543955113,0.2742712178492627,active boundary sampling
-0.49369273558259685,-0.18783158385778945,active boundary sampling
0.33185671632473146,0.29087971031749227,active boundary sampling
0.17607205432998851,0.39144396938542114,active boundary sampling
0.41591881227600314,-0.3061096893498061,active boundary sampling
-0.2604095005039293,0.7298930339973186,active boundary sampling
-0.8511158454536816,1.0,active boundary sampling
-0.7416219880063466,1.0,active boundary sampling
-0.6215866405516599,-0.11484541347833974,active boundary sampling
-0.5539524851241449,-0.15912055411963946,active boundary sampling
0.35124501851131784,-0.2653257027618652,active boundary sampling
-0.051859365632188625,0.5758018708264213,active boundary sampling
0.7821574550028356,-0.4893146880152073,active boundary sampling
-0.15958504366950588,0.09686477901141245,active boundary sampling
0.4856344343274992,-0.36580108348344975,active boundary sampling
-0.6155217109838131,0.9776738046872816,active boundary sampling
-0.861056017798042,1.0,active boundary sampling
0.9843685363639554,0.029003564888619125,active boundary sampling
-0.7340348658507072,0.5015966954650624,active boundary sampling
0.45558311211746805,-0.8911474240699561,active boundary sampling
0.7950112212381963,0.08110506560380525,active boundary sampling
0.8024964619401997,-0.4729145306114038,active boundary sampling
0.8617896329010923,-0.5163167462829367,active boundary sampling
0.8645690858530446,-1.0,active boundary sampling
0.5533942418814328,0.17130748019248201,active boundary sampling
-0.9730846320203568,0.5898927767591983,active boundary sampling
-0.6152077297409588,-0.12664730900865845,active boundary sampling
0.6818034080059536,-0.45506806508879827,active boundary sampling
0.5694952161821403,-0.3926357668638886,active boundary sampling
0.34699510794903365,-0.29919320687081064,active boundary sampling
0.41109892944633275,0.2199988349125854,active boundary sampling
0.06994108624728268,0.46145062195807235,active boundary sampling
-0.6620263475512322,1.0,active boundary sampling
-0.784123084337361,1.0,active boundary sampling
0.9774465193583286,-0.5545957110477527,active boundary sampling
0.6312960513441275,-0.4170166985444411,active boundary sampling
-0.9186138257756156,0.5695097847297165,active boundary sampling
0.29537706453643775,-0.25151130021531287,active boundary sampling
0.6601890523962355,-0.4187117262178282,active boundary sampling
-0.4572967295916728,0.377488808445196,active boundary sampling
0.518728954233622,-0.9377947844586846,active boundary sampling
-0.8444993101893632,1.0,active boundary sampling
-0.4332205390306276,0.308415311298296,active boundary sampling
0.9953784319527681,-0.5560217970505621,active boundary sampling
0.36921811557729,-0.8286888169109531,active boundary sampling
-0.4745048032526482,-0.2152860549878862,active boundary sampling
-0.5389275427419566,0.39175076533334624,active boundary sampling
-0.9592233833303545,1.0,active boundary sampling
0.08336325396145061,-0.6540000568739837,active boundary sampling
0.8638580825912838,0.053682479926195306,active boundary sampling
0.3213553845160182,-0.25029335947122633,active boundary sampling
0.2553908126673978,-0.7599301952516336,active boundary sampling
-0.2388111187166606,0.2129303194107034,active boundary sampling
0.4293017781820929,-0.3378779668191183,active boundary sampling
0.4869643653112343,-0.334886358490177,active boundary sampling
0.7148821418475286,-0.48102181862538723,active boundary sampling
0.964412698302185,-1.0,active boundary sampling
0.22085549808588345,-0.7508069624486965,active boundary sampling
-0.8395656792240414,1.0,active boundary sampling
-0.5958903693624826,-0.14137994767937886,active boundary sampling
-0.42384358823281243,0.30144154596807005,active boundary sampling
0.9876757730231911,0.057341298980386764,active boundary sampling
0.39093339394663307,-0.29868475255454524,active boundary sampling
0.1939997236987525,0.3442318420386702,active boundary sampling
-0.5258609440104434,-0.1681838111379631,active boundary sampling
-0.07170715760455626,-0.5057952708297572,active boundary sampling
0.9162773153360901,-0.5363801824553321,active boundary sampling
-0.31981300804124335,0.2397499357224451,active boundary sampling
-0.2748733281292066,-0.333218248321895,active boundary sampling
-0.3359642215121783,0.24463928963634335,active boundary sampling
-0.3210147183858594,-0.30191009244446865,active boundary sampling
-0.9335074433681803,0.012144750742492409,active boundary sampling
0.5591900951857318,-0.9737582086094076,active boundary sampling
0.5520973541699314,-0.3696388234991029,active boundary sampling
0.9004862504698545,-1.0,active boundary sampling
-0.93963835085717,0.580696383551626,active boundary sampling
