geometry,method,dH_mean,dH_sd,dH_ci95,R_pi_mean,R_pi_sd,R_pi_ci95,C_D_mean,C_D_sd,C_D_ci95
14,uniform,0.06524607963988893,0.023435775450783097,0.008386384539786207,0.05649467354058744,0.022686026321855297,0.008118090259668918,102.54226030932642,1.0208711844834892,0.36531406168510167
15,active,0.00011141791906262953,5.279189774033378e-05,1.889133798731272e-05,6.737105697933056e-05,3.3987012326700734e-05,1.2162096164846219e-05,15.800891343352502,0.0004223351819225968,0.0001511307038984755
15,uniform,0.07054634398760508,0.03342617964041361,0.011961404765512645,0.0454263344133432,0.024597372500941912,0.008802056705760456,84.04418504860045,1.1068817625423855,0.3960925517592203
16,active,0.00011508244524977145,4.71206256338417e-05,1.6861899327828692e-05,7.877231277583266e-05,3.92750155667519e-05,1.4054383821887354e-05,19.400920659561997,0.0003769650050709186,0.00013489519462269576
16,uniform,0.07286660743468763,0.029835307397970964,0.010676427636353378,0.059079027286314555,0.025077361151625323,0.008973818438493293,102.65855622788416,1.12848125182314,0.4038218297321984
17,active,0.00012158541072600874,3.923572648082202e-05,1.4040324403050685e-05,0.00013805884291764355,6.533434251683844e-05,2.3379594208477623e-05,23.00097268328581,0.00031388581184651907,0.00011232259522438504
17,uniform,0.07698408192430393,0.02484283569651184,0.00888989458220441,0.08559897015565825,0.03069626015767674,0.010984515624679001,121.85195365700461,1.3813317070954532,0.4943032031105551
18,active,0.00010428854331884669,4.257968329835843e-05,1.52369439821721e-05,7.918690389570545e-05,3.43325161975679e-05,1.2285733137182028e-05,19.40083430834655,0.0003406374663868642,0.00012189555185737563
18,uniform,0.06603224609501729,0.026960124638131477,0.009647556699404205,0.05896750227506878,0.019773061726080253,0.007075699266366577,102.6535376023781,0.889787777673612,0.3184064669864962
19,active,9.452977424704925e-05,3.857903045269282e-05,1.3805328747404149e-05,4.436124982638997e-05,2.1772670324132367e-05,7.791250013451735e-06,12.200756238193975,0.0003086322436216158,0.0001104426299792594
19,uniform,0.05985329852871999,0.02442703629651277,0.008741102677830364,0.027965414808780207,0.013391749300663778,0.004792175941932688,65.25844366639511,0.6026287185298697,0.21564791738697087
20,active,0.00011266655479901637,4.3184477123319734e-05,1.545336667294524e-05,0.00010261130216851884,4.6645074910141876e-05,1.6691725686871268e-05,19.40090133243839,0.0003454758169865234,0.0001236269333835496
20,uniform,0.07133694110982518,0.027343061185289282,0.009784588782918898,0.06264720575949984,0.025441523788366983,0.00910413236444602,102.8191242591775,1.1448685704765136,0.40968595640007066
21,active,0.00011544287526924693,4.3172782661097294e-05,1.544918186338392e-05,0.00012085331144292222,5.048754575160254e-05,1.8066736218401526e-05,23.00092354300216,0.00034538226128884704,0.00012359345490709595
21,uniform,0.07309482045779103,0.027335656617314404,0.00978193909229873,0.07924391017468797,0.03149109182142327,0.011268942482692515,121.56597595786097,1.4170991319640458,0.5071024117211627
22,active,0.00012407531635722687,4.127783208961821e-05,1.4771082510124406e-05,0.00011608551356438496,5.6227335341241804e-05,2.012069354433964e-05,23.000992602530857,0.0003302226567167976,0.00011816866008094228
22,uniform,0.07856061234808938,0.02613583314207029,0.009352587775787307,0.08868539374755133,0.03092872782595025,0.011067703111404302,121.9908427186398,1.3917927521677629,0.4980466400131942
23,active,8.32509878429654e-05,4.345734142430058e-05,1.5551009909031502e-05,2.964326507090545e-05,2.2373818345126046e-05,8.006368070030315e-06,12.200666007902743,0.00034765873139451617,0.0001244080792722919
23,uniform,0.05271192349568983,0.027515830332306965,0.009846413428173072,0.024199269075855668,0.013556401173771958,0.004851095858023416,65.08896710841351,0.6100380528197373,0.21829931361105342
24,active,7.752168181973177e-05,3.4957431734399205e-05,1.2509356290073225e-05,3.503294962925189e-05,2.0364285402792254e-05,7.287265941953897e-06,12.200620173454558,0.00027965945387532727,0.00010007485032063363
24,uniform,0.049084305991030086,0.022133953181017043,0.007920533423417425,0.02339185286990338,0.011531808756443367,0.004126604766029892,65.05263337914566,0.5189313940399519,0.18569721447134527
25,active,9.51089558077318e-05,3.236716467321749e-05,1.1582441126483623e-05,4.249558978696236e-05,2.0468796481501465e-05,7.324664751161809e-06,12.200760871646459,0.00025893731738579933,9.265952901189025e-05
25,uniform,0.060220018190643515,0.020493877036582567,0.007333639712533286,0.027647630715397713,0.009729721675071072,0.0034817361859264726,65.2441433821929,0.4378374753781988,0.15667812836669145
26,active,0.00010055845526820486,4.9317923704498445e-05,1.7648192344151394e-05,6.03230079414929e-05,3.445723640324393e-05,1.2330363689598652e-05,12.200804467642145,0.00039454338963610183,0.00014118553875325205
26,uniform,0.06367047092510562,0.031226567859853314,0.011174283798734218,0.032217046743075815,0.020284302213859816,0.007258644325378228,65.4497671034384,0.9127935996236922,0.3266389946420204
27,active,0.00011941097321628153,4.928750837815059e-05,1.7637308359399454e-05,0.00011795117360381258,6.582409300358942e-05,2.355484916938415e-05,19.40095528778573,0.0003943000670250676,0.00014109846687514657
27,uniform,0.07560729605510416,0.03120730982583987,0.011167392399767875,0.07397881024786328,0.03283754215220927,0.011750763545597282,103.32904646115388,1.4776893968494171,0.5287843595518777
28,active,0.00010572839006899084,4.454744641044778e-05,1.5941098968459793e-05,9.286841085150799e-05,4.1763221482070666e-05,1.4944776873478767e-05,19.400845827120552,0.0003563795712839872,0.0001275287917478233
