states,C_V_mean,C_V_sd,C_V_ci95,C_D_mean,C_D_sd,C_D_ci95,DCR_mean,DCR_sd,DCR_ci95,C_top_mean,C_top_sd,C_top_ci95
1600,1600.0,0.0,0.0,19.43487179487179,0.9932853742455777,0.158958765943578,82.53712920518997,4.154992594254821,0.6649373004098604,8.0,0.0,0.0
3600,3600.0,0.0,0.0,19.32135593220339,1.0068314803585552,0.1611265944114996,186.81842742545206,9.587191233840668,1.5342701371737106,8.0,0.0,0.0
6400,6400.0,0.0,0.0,19.30278481012658,1.0028961115675863,0.1604968042396465,332.43469857116503,16.984082649473113,2.7180193010437885,8.0,0.0,0.0
14400,14400.0,0.0,0.0,19.270588235294113,0.9992022843028556,0.1599056687625372,749.2204755458902,38.215069875916484,6.115684883145592,8.0,0.0,0.0
25600,25600.0,0.0,0.0,19.242012578616354,1.0081884805210142,0.16134375966612097,1333.9997406770344,68.7592868868312,11.00377763942475,8.0,0.0,0.0
57600,57600.0,0.0,0.0,19.219079497907952,0.9993670653941423,0.15993203922927413,3004.9597023256224,153.72390176182293,24.60094787829802,8.0,0.0,0.0
102400,102400.0,0.0,0.0,19.21003134796238,1.0016405130391988,0.16029586662617892,5344.740898892348,274.0983174188106,43.864866446058286,8.0,0.0,0.0
