structure,family,L_table,L_Gamma,L_Pi_struct,ratio
structured,admission_control,204800.0,18636.475076357914,18644.475076357914,10.984487316550746
structured,inventory_threshold,204800.0,21582.43762194804,21590.43762194804,9.485680817873181
structured,machine_replacement,204800.0,18087.22782209535,18095.22782209535,11.317901162312365
structured,random_structured,204800.0,18636.475076357914,18644.475076357914,10.999617770519722
structured,resource_allocation,204800.0,22314.767294298126,22322.767294298126,9.174489761953113
unstructured,oscillatory_fragmented,204800.0,90404.78296666652,90472.78296666652,2.2636642013704367
