seed,dimension,actions,C_V,C_D,DCR,C_B,C_R,F,C_top
3,8,4,256.0,20.188087774294672,12.680745341614905,3.0,4.0,1.0,8.0
3,10,4,1024.0,20.188087774294672,50.72298136645962,3.0,4.0,1.0,8.0
3,12,4,4096.0,20.188087774294672,202.89192546583848,3.0,4.0,1.0,8.0
3,14,4,16384.0,20.188087774294672,811.5677018633539,3.0,4.0,1.0,8.0
3,16,4,65536.0,20.188087774294672,3246.2708074534157,3.0,4.0,1.0,8.0
4,2,4,4.0,20.188087774294672,0.1981366459627329,3.0,4.0,1.0,8.0
4,4,4,16.0,20.188087774294672,0.7925465838509316,3.0,4.0,1.0,8.0
4,6,4,64.0,20.188087774294672,3.1701863354037263,3.0,4.0,1.0,8.0
4,8,4,256.0,20.188087774294672,12.680745341614905,3.0,4.0,1.0,8.0
4,10,4,1024.0,20.188087774294672,50.72298136645962,3.0,4.0,1.0,8.0
4,12,4,4096.0,20.188087774294672,202.89192546583848,3.0,4.0,1.0,8.0
4,14,4,16384.0,20.188087774294672,811.5677018633539,3.0,4.0,1.0,8.0
4,16,4,65536.0,20.188087774294672,3246.2708074534157,3.0,4.0,1.0,8.0
5,2,4,4.0,20.188087774294672,0.1981366459627329,3.0,4.0,1.0,8.0
5,4,4,16.0,20.188087774294672,0.7925465838509316,3.0,4.0,1.0,8.0
5,6,4,64.0,20.188087774294672,3.1701863354037263,3.0,4.0,1.0,8.0
5,8,4,256.0,20.188087774294672,12.680745341614905,3.0,4.0,1.0,8.0
5,10,4,1024.0,20.188087774294672,50.72298136645962,3.0,4.0,1.0,8.0
5,12,4,4096.0,20.188087774294672,202.89192546583848,3.0,4.0,1.0,8.0
5,14,4,16384.0,20.188087774294672,811.5677018633539,3.0,4.0,1.0,8.0
5,16,4,65536.0,20.188087774294672,3246.2708074534157,3.0,4.0,1.0,8.0
6,2,4,4.0,20.188087774294672,0.1981366459627329,3.0,4.0,1.0,8.0
6,4,4,16.0,20.188087774294672,0.7925465838509316,3.0,4.0,1.0,8.0
6,6,4,64.0,20.188087774294672,3.1701863354037263,3.0,4.0,1.0,8.0
6,8,4,256.0,20.188087774294672,12.680745341614905,3.0,4.0,1.0,8.0
6,10,4,1024.0,20.188087774294672,50.72298136645962,3.0,4.0,1.0,8.0
6,12,4,4096.0,20.188087774294672,202.89192546583848,3.0,4.0,1.0,8.0
6,14,4,16384.0,20.188087774294672,811.5677018633539,3.0,4.0,1.0,8.0
6,16,4,65536.0,20.188087774294672,3246.2708074534157,3.0,4.0,1.0,8.0
7,2,4,4.0,20.188087774294672,0.1981366459627329,3.0,4.0,1.0,8.0
7,4,4,16.0,20.188087774294672,0.7925465838509316,3.0,4.0,1.0,8.0
7,6,4,64.0,20.188087774294672,3.1701863354037263,3.0,4.0,1.0,8.0
7,8,4,256.0,20.188087774294672,12.680745341614905,3.0,4.0,1.0,8.0
7,10,4,1024.0,20.188087774294672,50.72298136645962,3.0,4.0,1.0,8.0
7,12,4,4096.0,20.188087774294672,202.89192546583848,3.0,4.0,1.0,8.0
7,14,4,16384.0,20.188087774294672,811.5677018633539,3.0,4.0,1.0,8.0
7,16,4,65536.0,20.188087774294672,3246.2708074534157,3.0,4.0,1.0,8.0
8,2,4,4.0,20.188087774294672,0.1981366459627329,3.0,4.0,1.0,8.0
8,4,4,16.0,20.188087774294672,0.7925465838509316,3.0,4.0,1.0,8.0
8,6,4,64.0,20.188087774294672,3.1701863354037263,3.0,4.0,1.0,8.0
8,8,4,256.0,20.188087774294672,12.680745341614905,3.0,4.0,1.0,8.0
8,10,4,1024.0,20.188087774294672,50.72298136645962,3.0,4.0,1.0,8.0
8,12,4,4096.0,20.188087774294672,202.89192546583848,3.0,4.0,1.0,8.0
8,14,4,16384.0,20.188087774294672,811.5677018633539,3.0,4.0,1.0,8.0
8,16,4,65536.0,20.188087774294672,3246.2708074534157,3.0,4.0,1.0,8.0
9,2,4,4.0,20.188087774294672,0.1981366459627329,3.0,4.0,1.0,8.0
9,4,4,16.0,20.188087774294672,0.7925465838509316,3.0,4.0,1.0,8.0
