seed,family,structure,grid_size,states,actions,noise_amplitude,C_V,DCR,DCR_relative_to_clean,MDL_ratio,MDL_relative_to_clean,C_B,C_R,F,L,kappa,C_top,C_D,boundary_edges,L_table,L_Gamma,L_Pi_struct,table_to_boundary_ratio,table_to_struct_policy_ratio
0,inventory_threshold,structured,320,102400,4,0.0,102400.0,5072.298136645963,1.0,9.485680817873181,1.0,3.0,4.0,1.0,8.12539184952978,4.06269592476489,8.0,20.188087774294672,1296.0,204800.0,21582.43762194804,21590.43762194804,9.489196891815904,9.485680817873181
0,inventory_threshold,structured,320,102400,4,0.0025,102400.0,5074.662109678422,1.0004660556159704,9.492998877418433,1.0007714849029563,3.0,4.0,1.0,8.119122257053291,4.059561128526646,8.0,20.178683385579937,1295.0,204800.0,21565.793765758266,21573.793765758266,9.496520379656848,9.492998877418433
0,inventory_threshold,structured,320,102400,4,0.005,102400.0,5074.662109678422,1.0004660556159704,9.492998877418433,1.0007714849029563,3.0,4.0,1.0,8.119122257053291,4.059561128526646,8.0,20.178683385579937,1295.0,204800.0,21565.793765758266,21573.793765758266,9.496520379656848,9.492998877418433
0,inventory_threshold,structured,320,102400,4,0.01,102400.0,5074.662109678422,1.0004660556159704,9.492998877418433,1.0007714849029563,3.0,4.0,1.0,8.119122257053291,4.059561128526646,8.0,20.178683385579937,1295.0,204800.0,21565.793765758266,21573.793765758266,9.496520379656848,9.492998877418433
0,inventory_threshold,structured,320,102400,4,0.02,102400.0,5077.028287224122,1.000932545850171,9.500328237226581,1.001544161102891,3.0,4.0,1.0,8.112852664576803,4.056426332288401,8.0,20.169278996865202,1294.0,204800.0,21549.149909568492,21557.149909568492,9.503855180341125,9.500328237226581
0,inventory_threshold,structured,320,102400,4,0.035,102400.0,5079.396672368216,1.001399471310838,9.507668923491993,1.0023180313612683,3.0,4.0,1.0,8.106583072100314,4.053291536050157,8.0,20.15987460815047,1293.0,204800.0,21532.50605337872,21540.50605337872,9.511201320102002,9.507668923491993
0,inventory_threshold,structured,320,102400,4,0.05,102400.0,5072.298136645963,1.0,9.485680817873181,1.0,3.0,4.0,1.0,8.12539184952978,4.06269592476489,8.0,20.188087774294672,1296.0,204800.0,21582.43762194804,21590.43762194804,9.489196891815904,9.485680817873181
0,inventory_threshold,structured,320,102400,4,0.075,102400.0,4990.924369747899,0.9839572192513368,9.236470174747192,0.9737277009514783,3.0,4.0,1.0,8.344827586206897,4.172413793103448,8.0,20.517241379310345,1331.0,204800.0,22164.972588590157,22172.972588590157,9.239803892445359,9.236470174747192
0,inventory_threshold,structured,320,102400,4,0.1,102400.0,4883.480340858126,0.9627747047391241,8.915248583597235,0.9398638595132652,3.0,4.0,1.0,8.64576802507837,4.322884012539185,8.0,20.968652037617552,1379.0,204800.0,22963.877685699343,22971.877685699343,8.918354417448336,8.915248583597235
0,machine_replacement,structured,320,102400,4,0.0,102400.0,5622.3063683304645,1.0,11.317901162312365,1.0,3.0,4.0,1.0,6.808777429467084,3.404388714733542,8.0,18.213166144200628,1086.0,204800.0,18087.22782209535,18095.22782209535,11.322907081969545,11.317901162312365
0,machine_replacement,structured,320,102400,4,0.0025,102400.0,5628.118538938663,1.0010337698139216,11.338759776411553,1.0018429754598535,3.0,4.0,1.0,6.7962382445141065,3.3981191222570533,8.0,18.19435736677116,1084.0,204800.0,18053.9401097158,18061.9401097158,11.34378416874143,11.338759776411553
0,machine_replacement,structured,320,102400,4,0.005,102400.0,5628.118538938663,1.0010337698139216,11.338759776411553,1.0018429754598535,3.0,4.0,1.0,6.7962382445141065,3.3981191222570533,8.0,18.19435736677116,1084.0,204800.0,18053.9401097158,18061.9401097158,11.34378416874143,11.338759776411553
0,machine_replacement,structured,320,102400,4,0.01,102400.0,5628.118538938663,1.0010337698139216,11.338759776411553,1.0018429754598535,3.0,4.0,1.0,6.7962382445141065,3.3981191222570533,8.0,18.19435736677116,1084.0,204800.0,18053.9401097158,18061.9401097158,11.34378416874143,11.338759776411553
0,machine_replacement,structured,320,102400,4,0.02,102400.0,5625.210952298949,1.0005166178749785,11.328320867731266,1.0009206393720416,3.0,4.0,1.0,6.802507836990595,3.4012539184952977,8.0,18.203761755485893,1085.0,204800.0,18070.583965905575,18078.583965905575,11.333336010966972,11.328320867731266
0,machine_replacement,structured,320,102400,4,0.035,102400.0,5584.817917592752,0.993332193537357,11.184168663518602,0.9881839842143982,3.0,4.0,1.0,6.890282131661442,3.445141065830721,8.0,18.33542319749216,1099.0,204800.0,18303.59795256242,18311.59795256242,11.189056956494662,11.184168663518602
0,machine_replacement,structured,320,102400,4,0.05,102400.0,5530.917710802574,0.9837453437182527,10.994301890510226,0.971408190691778,3.0,4.0,1.0,7.009404388714733,3.5047021943573666,8.0,18.5141065830721,1118.0,204800.0,18619.83122016814,18627.83122016814,10.999025586127232,10.994301890510226
0,machine_replacement,structured,320,102400,4,0.075,102400.0,5407.3166694255915,0.9617612977983777,10.56933806455657,0.9338602549164817,3.0,4.0,1.0,7.29153605015674,3.64576802507837,8.0,18.93730407523511,1163.0,204800.0,19368.804748708004,19376.804748708004,10.573703574231196,10.56933806455657
0,machine_replacement,structured,320,102400,4,0.1,102400.0,5286.551221880563,0.9402815989642338,10.167595468075291,0.8983640449107744,3.0,4.0,1.0,7.5799373040752345,3.7899686520376172,8.0,19.369905956112852,1209.0,204800.0,20134.42213343764,20142.42213343764,10.171635353759893,10.167595468075291
0,admission_control,structured,320,102400,4,0.0,102400.0,5528.109663225588,1.0,10.984487316550746,1.0,3.0,4.0,1.0,7.015673981191222,3.507836990595611,8.0,18.523510971786834,1119.0,204800.0,18636.475076357914,18644.475076357914,10.989202580471222,10.984487316550746
0,admission_control,structured,320,102400,4,0.0025,102400.0,5519.702602230483,0.9984792159513349,10.955148451078164,0.997329063739882,3.0,4.0,1.0,7.0344827586206895,3.5172413793103448,8.0,18.551724137931036,1122.0,204800.0,18686.40664492724,18694.40664492724,10.959838554920704,10.955148451078164
0,admission_control,structured,320,102400,4,0.005,102400.0,5514.112086428089,0.9974679270762999,10.935676121823045,0.9955563520334576,3.0,4.0,1.0,7.047021943573667,3.5235109717868336,8.0,18.570532915360502,1124.0,204800.0,18719.694357306787,18727.694357306787,10.940349563990674,10.935676121823045
0,admission_control,structured,320,102400,4,0.01,102400.0,5511.321073055508,0.9969630504471065,10.92596589259881,0.9946723572739021,3.0,4.0,1.0,7.053291536050157,3.5266457680250785,8.0,18.579937304075237,1125.0,204800.0,18736.338213496565,18744.338213496565,10.930631037204165,10.92596589259881
0,admission_control,structured,320,102400,4,0.02,102400.0,5480.805369127516,0.9914429530201342,10.820280480175484,0.9850510240812199,3.0,4.0,1.0,7.122257053291536,3.561128526645768,8.0,18.683385579937305,1136.0,204800.0,18919.420631584086,18927.420631584086,10.824855791731107,10.820280480175484
0,admission_control,structured,320,102400,4,0.035,102400.0,5456.088191080675,0.9869717721730417,10.73531940480107,0.9773163822243897,3.0,4.0,1.0,7.178683385579937,3.5893416927899686,8.0,18.768025078369906,1145.0,204800.0,19069.21533729206,19077.21533729206,10.739823132601051,10.73531940480107
0,admission_control,structured,320,102400,4,0.05,102400.0,5420.776634583472,0.9805841354132095,10.614926932178287,0.9663561553923752,3.0,4.0,1.0,7.260188087774295,3.6300940438871474,8.0,18.890282131661444,1158.0,204800.0,19285.58546775913,19293.58546775913,10.619330190539273,10.614926932178287
0,admission_control,structured,320,102400,4,0.075,102400.0,5317.532150415107,0.9619078626078464,10.269424026036507,0.9349024428808046,3.0,4.0,1.0,7.504702194357367,3.7523510971786833,8.0,19.25705329153605,1197.0,204800.0,19934.695859160343,19942.695859160343,10.273545252303952,10.269424026036507
0,admission_control,structured,320,102400,4,0.1,102400.0,5156.369376479874,0.9327545382794002,9.748712346983103,0.887498165917525,3.0,4.0,1.0,7.905956112852664,3.952978056426332,8.0,19.858934169278996,1261.0,204800.0,20999.902655305927,21007.902655305927,9.75242615937814,9.748712346983103
0,resource_allocation,structured,320,102400,4,0.0,102400.0,4970.419963481436,1.0,9.174489761953113,1.0,3.0,4.0,1.0,8.401253918495298,4.200626959247649,8.0,20.60188087774295,1340.0,204800.0,22314.76729429813,22322.76729429813,9.17777888063975,9.174489761953113
0,resource_allocation,structured,320,102400,4,0.0025,102400.0,4972.689907139596,1.0004566905160606,9.181335365970153,1.0007461563743227,3.0,4.0,1.0,8.39498432601881,4.197492163009405,8.0,20.59247648902821,1339.0,204800.0,22298.123438108356,22306.123438108356,9.184629395762913,9.181335365970153
0,resource_allocation,structured,320,102400,4,0.005,102400.0,4974.961925068535,1.000913798355163,9.188191193397605,1.00149342707878,3.0,4.0,1.0,8.388714733542319,4.194357366771159,8.0,20.58307210031348,1338.0,204800.0,22281.47958191858,22289.47958191858,9.191490145304138,9.188191193397605
0,resource_allocation,structured,320,102400,4,0.01,102400.0,4972.689907139596,1.0004566905160606,9.181335365970153,1.0007461563743227,3.0,4.0,1.0,8.39498432601881,4.197492163009405,8.0,20.59247648902821,1339.0,204800.0,22298.123438108356,22306.123438108356,9.184629395762913,9.181335365970153
0,resource_allocation,structured,320,102400,4,0.02,102400.0,4974.961925068535,1.000913798355163,9.188191193397605,1.00149342707878,3.0,4.0,1.0,8.388714733542319,4.194357366771159,8.0,20.58307210031348,1338.0,204800.0,22281.47958191858,22289.47958191858,9.191490145304138,9.188191193397605
0,resource_allocation,structured,320,102400,4,0.035,102400.0,4979.512195121952,1.001829268292683,9.201933610228254,1.0029913214780566,3.0,4.0,1.0,8.376175548589341,4.1880877742946705,8.0,20.56426332288401,1336.0,204800.0,22248.19186953903,22256.19186953903,9.205242439517102,9.201933610228254
0,resource_allocation,structured,320,102400,4,0.05,102400.0,5004.688218170675,1.0068944384862877,9.278257802800525,1.0113104972090918,3.0,4.0,1.0,8.307210031347962,4.153605015673981,8.0,20.460815047021946,1325.0,204800.0,22065.10945145151,22073.10945145151,9.28162175903132,9.278257802800525
0,resource_allocation,structured,320,102400,4,0.075,102400.0,4981.790452951045,1.0022876315388136,9.208820245675366,1.003741950191565,3.0,4.0,1.0,8.369905956112852,4.184952978056426,8.0,20.55485893416928,1335.0,204800.0,22231.548013349257,22239.548013349257,9.212134030298964,9.208820245675366
0,resource_allocation,structured,320,102400,4,0.1,102400.0,4700.255404870679,0.9456455268175116,9.221793928228479,1.0051560541787878,3.0,5.0,1.25,8.357366771159874,4.178683385579937,9.25,21.78605015673981,1333.0,204800.0,22198.260300969705,22208.260300969705,9.225948215007351,9.221793928228479
0,random_structured,structured,320,102400,4,0.0,102400.0,5576.237623762377,1.0,11.153754907198863,1.0,3.0,4.0,1.0,6.909090909090909,3.4545454545454546,8.0,18.363636363636363,1102.0,204800.0,18353.529521131746,18361.529521131746,11.158616644509653,11.153754907198863
0,random_structured,structured,320,102400,4,0.0025,102400.0,5576.237623762377,1.0,11.153754907198863,1.0,3.0,4.0,1.0,6.909090909090909,3.4545454545454546,8.0,18.363636363636363,1102.0,204800.0,18353.529521131746,18361.529521131746,11.158616644509653,11.153754907198863
0,random_structured,structured,320,102400,4,0.005,102400.0,5576.237623762377,1.0,11.153754907198863,1.0,3.0,4.0,1.0,6.909090909090909,3.4545454545454546,8.0,18.363636363636363,1102.0,204800.0,18353.529521131746,18361.529521131746,11.158616644509653,11.153754907198863
0,random_structured,structured,320,102400,4,0.01,102400.0,5576.237623762377,1.0,11.153754907198863,1.0,3.0,4.0,1.0,6.909090909090909,3.4545454545454546,8.0,18.363636363636363,1102.0,204800.0,18353.529521131746,18361.529521131746,11.158616644509653,11.153754907198863
0,random_structured,structured,320,102400,4,0.02,102400.0,5579.094790777114,1.0005123825789923,11.163874430211544,1.0009072750026227,3.0,4.0,1.0,6.9028213166144194,3.4514106583072097,8.0,18.35423197492163,1101.0,204800.0,18336.885664941972,18344.885664941972,11.16874499531587,11.163874430211544
0,random_structured,structured,320,102400,4,0.035,102400.0,5564.838160136286,0.9979557069846677,11.113459609728721,0.9963872886032188,3.0,4.0,1.0,6.9341692789968645,3.4670846394984323,8.0,18.401253918495296,1106.0,204800.0,18420.104945890846,18428.104945890846,11.118286274785136,11.113459609728721
0,random_structured,structured,320,102400,4,0.05,102400.0,5505.747513905276,0.9873588403842912,10.906597075074313,0.9778408406692682,3.0,4.0,1.0,7.065830721003135,3.5329153605015673,8.0,18.5987460815047,1127.0,204800.0,18769.625925876113,18777.625925876113,10.911245690712429,10.906597075074313
0,random_structured,structured,320,102400,4,0.075,102400.0,5367.334866907657,0.9625369700953006,10.434891109115433,0.9355496149893467,3.0,4.0,1.0,7.385579937304075,3.6927899686520376,8.0,19.078369905956112,1178.0,204800.0,19618.462591554624,19626.462591554624,10.439146240142309,10.434891109115433
0,random_structured,structured,320,102400,4,0.1,102400.0,5178.440076093849,0.9286620164870005,9.818723754565072,0.8803065726527545,3.0,4.0,1.0,7.849529780564263,3.9247648902821317,8.0,19.774294670846395,1252.0,204800.0,20850.107949597954,20858.107949597954,9.822491111080751,9.818723754565072
