seed,family,grid_size,states,actions,regime,C_V,C_D,DCR,C_B,C_R,F,C_top,L,kappa,L_table,L_Gamma,L_Pi_struct,table_to_boundary_ratio,table_to_struct_policy_ratio
0,inventory_threshold,40,1600,4,polynomial_beta_1.00,1600.0,20.46153846153846,78.19548872180452,3.0,4.0,1.0,8.0,8.307692307692307,4.153846153846153,3200.0,1736.3047027435055,1744.3047027435055,1.8429944899324033,1.834541863567142
0,inventory_threshold,60,3600,4,polynomial_beta_1.00,3600.0,20.305084745762713,177.29549248747912,3.0,4.0,1.0,8.0,8.203389830508474,4.101694915254237,7200.0,2870.935048274523,2878.935048274523,2.507893727629719,2.5009247792218474
0,inventory_threshold,80,6400,4,polynomial_beta_1.00,6400.0,20.303797468354432,315.21197007481294,3.0,4.0,1.0,8.0,8.20253164556962,4.10126582278481,12800.0,4108.609405487011,4116.609405487011,3.1154093117018413,3.1093549907695723
0,inventory_threshold,120,14400,4,polynomial_beta_1.00,14400.0,20.252100840336134,711.0373443983402,3.0,4.0,1.0,8.0,8.168067226890756,4.084033613445378,28800.0,6725.49765893148,6733.49765893148,4.282210991740294,4.277123340467633
0,inventory_threshold,160,25600,4,polynomial_beta_1.00,25600.0,20.226415094339625,1265.6716417910445,3.0,4.0,1.0,8.0,8.150943396226415,4.0754716981132075,51200.0,9501.218810974022,9509.218810974022,5.38878232557526,5.384248802952471
0,inventory_threshold,240,57600,4,polynomial_beta_1.00,57600.0,20.20083682008368,2851.367025683513,3.0,4.0,1.0,8.0,8.13389121338912,4.06694560669456,115200.0,15382.99531786296,15390.99531786296,7.488788601932945,7.48489604608596
0,inventory_threshold,320,102400,4,polynomial_beta_1.00,102400.0,20.188087774294672,5072.298136645963,3.0,4.0,1.0,8.0,8.12539184952978,4.06269592476489,204800.0,21582.43762194804,21590.43762194804,9.489196891815904,9.485680817873181
0,machine_replacement,40,1600,4,polynomial_beta_1.00,1600.0,18.46153846153846,86.66666666666667,3.0,4.0,1.0,8.0,6.9743589743589745,3.4871794871794872,3200.0,1459.5644418093627,1467.5644418093627,2.192434885597165,2.180483465553795
0,machine_replacement,60,3600,4,polynomial_beta_1.00,3600.0,18.271186440677965,197.03153988868274,3.0,4.0,1.0,8.0,6.8474576271186445,3.4237288135593222,7200.0,2398.3838006258416,2406.3838006258416,3.0020216106034447,2.992041418383658
0,machine_replacement,80,6400,4,polynomial_beta_1.00,6400.0,18.329113924050635,349.171270718232,3.0,4.0,1.0,8.0,6.886075949367089,3.4430379746835444,12800.0,3451.1288836187255,3459.1288836187255,3.7089313183164565,3.7003535949806636
