noise_amplitude,C_B_mean,C_B_sd,C_B_ci95,C_R_mean,C_R_sd,C_R_ci95,F_mean,F_sd,F_ci95,C_top_mean,C_top_sd,C_top_ci95,C_D_mean,C_D_sd,C_D_ci95,DCR_mean,DCR_sd,DCR_ci95,DCR_relative_to_clean_mean,DCR_relative_to_clean_sd,DCR_relative_to_clean_ci95,MDL_ratio_mean,MDL_ratio_sd,MDL_ratio_ci95,MDL_relative_to_clean_mean,MDL_relative_to_clean_sd,MDL_relative_to_clean_ci95,table_to_struct_policy_ratio_mean,table_to_struct_policy_ratio_sd,table_to_struct_policy_ratio_ci95
0.0,3.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,19.21003134796238,1.0016405130391988,0.16029586662617892,5344.740898892348,274.0983174188106,43.864866446058286,1.0,0.0,0.0,10.392435365841825,0.9027687034357723,0.14447308170587747,1.0,0.0,0.0,10.392435365841825,0.9027687034357723,0.14447308170587747
0.0025,3.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,19.210595611285267,0.9939798278997942,0.15906990167429702,5344.374992375128,272.14921897428144,43.55294573175175,0.9999513728156004,0.0011667879849430406,0.00018672496647321457,10.390763762375379,0.896699729649985,0.14350184362209364,0.999894541103835,0.002034932697985938,0.00032565705570341603,10.390763762375379,0.896699729649985,0.14350184362209364
0.005,3.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,19.21260188087774,0.9890785215335827,0.1582855292958392,5343.684049505965,270.90141562813767,43.353255607255626,0.999835412714458,0.0019448048148190337,0.0003112335904468179,10.38817524851996,0.8928079118774991,0.14287902306474726,0.9996827115483374,0.0033900056703572655,0.0005425138956777729,10.38817524851996,0.8928079118774991,0.14287902306474726
0.01,3.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,19.21912225705329,0.9735230113259103,0.15579612919960567,5341.449602991988,266.854693776673,42.70564523434109,0.9994612169480839,0.003795463847913516,0.0006074007179518108,10.37980510315551,0.8799366010907226,0.14081918433985294,0.9990014143594756,0.006574334576006696,0.0010521126538241418,10.37980510315551,0.8799366010907226,0.14081918433985294
0.02,3.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,19.227774294670848,0.9455390955937424,0.15131776998241384,5338.317663672064,259.8471038248514,41.584197280044755,0.9989623323246629,0.007469227640494406,0.0011953253708043713,10.367829802558521,0.8583650379774002,0.1373670152645032,0.9980934546027189,0.012851251699636019,0.0020566286023853096,10.367829802558521,0.8583650379774002,0.1373670152645032
0.035,3.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,19.255047021943575,0.8983272587877321,0.14376230252945454,5329.570674007359,247.92724011677953,39.67662179934278,0.9974977867508752,0.013542312497056555,0.002167221362933492,10.336229598794299,0.821497389352836,0.13146696269093813,0.995537710838937,0.023124633774702984,0.0037007121448011573,10.336229598794299,0.821497389352836,0.13146696269093813
0.05,3.0,0.0,0.0,4.026666666666666,0.16164700403963186,0.02586890831865169,1.0066666666666666,0.040411751009907966,0.006467227079662923,8.033333333333333,0.20205875504954018,0.03233613539831462,19.34317659352142,0.8508301555966153,0.13616118294698892,5304.065411671218,233.82231407129666,37.419363516829236,0.9929924831124796,0.022060132115340917,0.0035303563996099976,10.276983700797704,0.7621530436247934,0.12196988943560758,0.9905726899859276,0.033739382096708646,0.0053994256644170424,10.276983700797704,0.7621530436247934,0.12196988943560758
0.075,3.0,0.0,0.0,4.046666666666667,0.2116305082822281,0.03386793494075746,1.0116666666666667,0.052907627070557024,0.008466983735189365,8.058333333333334,0.2645381353527848,0.04233491867594682,19.544101358411698,0.8071172194201599,0.12916565621263293,5248.410499182348,219.1367117640451,35.06917767857313,0.9829913773958856,0.03303200727345857,0.005286222115991905,10.111329546267893,0.6976411717002816,0.11164583975590779,0.9757839227913846,0.05120487308321638,0.008194486344659725,10.111329546267893,0.6976411717002816,0.11164583975590779
0.1,3.0,0.0,0.0,4.086666666666667,0.28228850648734266,0.04517556967489349,1.0216666666666667,0.07057212662183567,0.011293892418723372,8.108333333333333,0.35286063310917826,0.05646946209361686,19.883631138975968,0.9013496254873827,0.1442459819364631,5160.5225441275,235.10547242521298,37.624711620946506,0.966840069768341,0.04429690397672032,0.0070889810459644825,9.86766623139672,0.7229765771625289,0.11570034905543085,0.9531897806353662,0.06844445349172826,0.01095339380285472,9.86766623139672,0.7229765771625289,0.11570034905543085
